Player,Serve Rating,% 1st Serve,% 1st Serve Points Won,% 2nd Serve Points Won,% Service Games Won,Aces Per Match,Avg Double Faults/Match,Surface
Arnaud Boetsch,256.7,56.90%,71.20%,50.40%,77.30%,4.1,3.2,All
Tommy Ho,256.7,59.90%,69.20%,50.20%,76.10%,4.2,2.9,All
Nicolas Lapentti,256.6,60.40%,70.30%,48.30%,75.40%,4.9,2.7,All
Alberto Mancini,256.6,63.40%,66.90%,51.20%,74.40%,2.8,2.1,All
Gilles Simon,256.6,57.20%,69.50%,51.60%,76.30%,4.3,2.3,All
Karsten Braasch,256.5,55.20%,74.40%,45.70%,77.00%,6.9,2.7,All
Jared Donaldson,256.5,52.20%,73.70%,51.10%,77.40%,6.1,4,All
Richey Reneberg,256.5,55.80%,71.20%,50.90%,76.60%,4.6,2.6,All
Andreas Vinciguerra,256.4,59.10%,69.60%,49.60%,76.40%,4.5,2.8,All
Alberto Berasategui,256.3,73.60%,63.20%,48.80%,71.80%,1.6,2.7,All
Jared Palmer,256.3,60.60%,69.60%,49.40%,76.70%,4.1,4.1,All
Joao Sousa,256.2,60.80%,69.80%,49.00%,75.10%,3.7,2.2,All
Ricardas Berankis,256.1,56.50%,70.50%,51.20%,76.90%,4.6,3.6,All
Joern Renzenbrink,256.1,59.40%,73.70%,44.30%,77.00%,7.6,5.9,All
Andrei Medvedev,256,57.40%,71.50%,48.70%,76.30%,5.6,3.5,All
Julian Reister,256,69.90%,65.60%,47.50%,72.40%,3.4,2.8,All
Laurence Tieleman,256,52.50%,75.10%,48.60%,77.70%,7.4,5.3,All
Petr Korda,255.8,58.70%,71.70%,48.30%,77.60%,4.3,4.8,All
Felix Mantilla,255.7,62.20%,67.00%,51.30%,74.60%,2.9,2.3,All
Sandon Stolle,255.7,58.00%,74.10%,45.50%,76.70%,6.8,5.4,All
Pat Cash,255.6,58.10%,71.70%,47.60%,76.20%,6,4,All
Mark Woodforde,255.6,57.50%,71.10%,49.20%,76.70%,4.7,3.6,All
Arnaud Clement,255.5,56.80%,70.50%,50.00%,75.90%,5.1,2.8,All
Brian Baker,255.4,62.20%,69.10%,48.50%,75.00%,4.9,4.3,All
Todd Reid,255.4,70.10%,64.20%,48.00%,71.60%,3.4,1.9,All
Guillermo Coria,255.3,63.00%,67.90%,50.10%,75.10%,2.9,3.7,All
Denis Kudla,255.3,58.00%,69.60%,50.40%,74.90%,5.9,3.5,All
Marcel Granollers,255.2,61.20%,68.70%,49.40%,74.10%,4.1,2.3,All
Nicklas Kulti,255.1,56.60%,72.10%,48.40%,76.10%,5.2,3.3,All
Nicolas Massu,254.9,58.90%,69.20%,49.90%,75.40%,4.4,2.9,All
Jaume Munar,254.9,63.70%,68.10%,48.10%,73.40%,4,2.4,All
Florent Serra,254.9,61.30%,67.40%,50.00%,74.40%,3.8,2,All
Justin Gimelstob,254.8,57.60%,72.40%,46.50%,76.00%,6.7,4.4,All
Alex Kuznetsov,254.8,59.40%,71.20%,47.00%,72.60%,7.3,2.7,All
Simon Youl,254.8,60.10%,70.50%,48.20%,75.00%,4.3,3.3,All
Dominik Hrbaty,254.7,56.70%,71.30%,49.70%,76.00%,5.1,4.1,All
Aaron Krickstein,254.7,58.60%,68.60%,50.70%,74.80%,4.3,2.3,All
Javier Sanchez,254.6,65.60%,66.90%,48.50%,73.60%,2.5,2.5,All
Hugo Armando,254.5,61.20%,67.10%,50.50%,75.30%,2.9,2.5,All
Alexander Popp,254.5,62.50%,69.60%,47.90%,74.90%,4.5,4.9,All
Ivo Minar,254.4,58.70%,68.80%,50.00%,74.00%,5.3,2.4,All
Gerald Melzer,254.4,64.00%,67.00%,49.10%,72.80%,4.1,2.6,All
Wayne Odesnik,254.3,61.90%,66.80%,50.30%,72.90%,5.2,2.8,All
Yoshihito Nishioka,254.3,64.90%,63.40%,53.60%,72.20%,1.9,1.7,All
Brad Gilbert,254,56.30%,72.30%,47.70%,75.90%,5.5,3.7,All
Marton Fucsovics,254,56.80%,69.70%,50.90%,75.90%,4.2,3.5,All
Goran Prpic,254,71.50%,63.80%,48.30%,70.50%,2.4,2.5,All
Dennis Novak,253.9,63.80%,66.90%,48.80%,72.50%,4.8,2.9,All
Ramon Delgado,253.8,59.50%,68.50%,48.70%,73.50%,6.6,3,All
Norbert Gombos,253.7,61.70%,70.60%,45.70%,74.50%,5.5,4.3,All
Sebastien Lareau,253.7,59.90%,71.30%,45.40%,75.30%,6.4,4.6,All
Albert Montanes,253.7,60.40%,69.00%,49.50%,74.60%,3.4,3.2,All
Mikhail Kukushkin,253.7,60.70%,66.40%,51.20%,73.80%,3.2,1.6,All
Byron Black,253.6,60.40%,67.70%,50.50%,74.30%,3.4,2.7,All
Ilya Ivashka,253.6,60.00%,71.40%,46.20%,73.90%,6.1,4,All
Francisco Clavet,253.5,63.60%,65.30%,51.70%,73.30%,1.8,2.2,All
Guillermo Perez-Roldan,253.5,68.20%,63.40%,50.20%,71.70%,1.3,1.3,All
Christian Saceanu,253.5,62.30%,71.10%,45.30%,75.20%,4.6,5,All
Thierry Ascione,253.4,64.80%,66.30%,49.00%,72.40%,3.6,2.7,All
Christian Bergstrom,253.4,65.20%,64.80%,49.80%,73.00%,2.7,2.1,All
Jonas Bjorkman,253.3,57.50%,70.40%,49.20%,75.40%,4.2,3.4,All
George Bastl,253.3,64.90%,67.00%,46.90%,72.10%,5.4,3,All
Vladimir Voltchkov,253.3,58.20%,70.60%,48.10%,74.60%,6.2,4.4,All
Alex Bogomolov Jr.,253.2,68.90%,64.80%,48.30%,71.90%,2.2,2.9,All
Rik De Voest,253.2,60.40%,68.20%,48.60%,73.90%,4,1.9,All
Roko Karanusic,253.2,61.20%,67.30%,50.10%,72.00%,4.2,1.6,All
Attila Balazs,253.1,58.00%,67.30%,52.10%,77.00%,3.1,4.4,All
Omar Camporese,253.1,51.00%,73.50%,49.30%,76.20%,5.7,2.6,All
Jonas Svensson,253.1,64.60%,66.00%,48.70%,72.90%,2.9,2,All
Gilbert Schaller,253.1,75.70%,60.80%,48.60%,67.80%,1.2,1,All
Patrik Kuhnen,253,55.40%,73.60%,45.90%,75.80%,6.5,4.2,All
Lukasz Kubot,252.9,62.20%,68.70%,47.60%,74.00%,5,4.6,All
Yuichi Sugita,252.9,60.80%,68.00%,49.00%,74.10%,3.6,2.6,All
Mariano Zabaleta,252.9,57.50%,69.40%,50.10%,75.20%,4.1,3.4,All
Facundo Bagnis,252.8,61.00%,67.40%,50.10%,73.40%,4.4,3.5,All
Radu Albot,252.8,64.50%,65.60%,50.20%,72.80%,2.7,3,All
Gregoire Barrere,252.8,63.00%,67.70%,47.60%,71.70%,6.1,3.3,All
Daniel Gimeno-Traver,252.8,59.00%,69.40%,48.70%,74.10%,4.5,2.9,All
Juan Ignacio Chela,252.7,60.40%,67.90%,50.30%,73.90%,3.1,2.9,All
Jens Knippschild,252.7,51.10%,74.20%,48.70%,75.30%,7.1,3.7,All
Rainer Schuettler,252.7,59.00%,68.30%,51.00%,74.20%,3.3,3.1,All
Hicham Arazi,252.6,57.20%,68.70%,50.40%,74.40%,4,2.1,All
Leander Paes,252.6,60.00%,69.80%,47.70%,75.20%,3.7,3.8,All
David Engel,252.5,65.40%,65.10%,49.20%,72.00%,2.9,2.1,All
Tim Smyczek,252.5,61.50%,66.40%,50.30%,72.50%,4.5,2.7,All
Kenny Thorne,252.5,62.80%,69.00%,46.20%,73.70%,4.3,3.5,All
Roberto Carballes Baena,252.4,62.60%,67.10%,49.50%,73.40%,2.9,3.1,All
Henrik Holm,252.4,51.10%,77.60%,45.10%,77.20%,8.6,7.2,All
Gaston Etlis,252.3,57.30%,69.70%,49.20%,74.30%,5.1,3.3,All
Henri Leconte,252.3,49.90%,74.00%,49.80%,77.10%,6.1,4.6,All
Jan Hernych,252.2,65.70%,64.50%,49.50%,71.60%,3,2.1,All
Lorenzo Manta,252.2,51.00%,76.10%,46.30%,76.00%,9.6,6.8,All
Martin Klizan,252.2,58.10%,68.90%,49.50%,74.70%,4.7,3.7,All
Matthew Ebden,252.1,60.90%,70.80%,45.70%,73.70%,5.8,4.8,All
Paolo Lorenzi,252,58.60%,69.00%,49.30%,73.80%,4,2.7,All
Evgeny Korolev,252,58.40%,70.70%,47.50%,74.00%,4.9,3.5,All
Olivier Rochus,252,61.30%,66.30%,51.50%,73.80%,1.7,2.6,All
Brian Vahaly,252,64.50%,64.20%,51.40%,72.50%,2.7,3.3,All
Hendrik Jan Davids,251.9,58.90%,69.50%,47.70%,74.30%,3.9,2.4,All
Jozef Kovalik,251.9,60.30%,68.00%,49.00%,73.70%,3.7,2.8,All
Sargis Sargsian,251.9,60.50%,68.20%,48.80%,73.50%,4.1,3.2,All
Jeff Tarango,251.9,61.40%,67.80%,48.70%,73.90%,4,3.9,All
Patrick Baur,251.8,56.50%,69.90%,49.70%,74.80%,4.2,3.3,All
Dominik Koepfer,251.8,61.40%,68.20%,47.80%,73.50%,4.4,3.5,All
Andres Gomez,251.7,56.10%,71.30%,47.30%,74.80%,5.7,3.5,All
Andrey Golubev,251.7,58.80%,68.20%,49.80%,74.00%,4.2,3.3,All
Michael Kohlmann,251.6,60.40%,69.20%,46.50%,73.30%,5.3,3.1,All
Nicolas Kicker,251.5,62.40%,65.50%,51.10%,72.80%,2.2,2.5,All
Thierry Champion,251.4,72.00%,61.30%,49.80%,67.80%,1.7,1.2,All
Gaston Gaudio,251.4,62.00%,66.90%,49.90%,72.90%,2.8,3.1,All
Carl-Uwe Steeb,251.4,59.30%,66.70%,50.60%,73.70%,2.8,1.7,All
Somdev Devvarman,251.3,60.30%,66.80%,49.50%,72.60%,3.8,1.7,All
Olivier Patience,251.3,62.80%,65.70%,48.90%,72.50%,4.3,2.9,All
Mikael Tillstrom,251.3,59.10%,68.70%,48.80%,73.90%,4.1,3.3,All
Anders Jarryd,251.1,54.40%,71.90%,49.60%,75.30%,3.6,3.7,All
Andreas Haider-Maurer,251,55.80%,71.90%,46.50%,74.80%,7.2,5.2,All
Michael Mmoh,251,66.10%,67.80%,44.70%,71.30%,5.5,4.4,All
Diego Hartfield,251,65.20%,65.20%,48.10%,71.70%,3.8,3,All
Illya Marchenko,251,57.90%,70.60%,47.40%,74.60%,4.7,4.2,All
Vincent Spadea,251,57.80%,67.70%,50.80%,73.80%,3.6,2.7,All
Leonardo Lavalle,250.9,63.10%,67.90%,47.50%,71.70%,4.2,3.5,All
Yuri Schukin,250.8,61.30%,66.00%,50.40%,73.20%,2.6,2.7,All
Arne Thoms,250.8,58.00%,72.60%,44.50%,76.10%,5.6,6,All
Guillermo Garcia-Lopez,250.7,58.70%,69.20%,48.90%,74.30%,3.6,4,All
Daniel Koellerer,250.7,69.20%,63.40%,49.20%,69.20%,1.6,1.9,All
David Witt,250.7,51.40%,75.60%,45.40%,75.20%,7.9,4.8,All
Fred Gil,250.6,64.00%,64.80%,49.80%,71.70%,2.4,2.1,All
Alexander Volkov,250.6,52.60%,71.80%,49.20%,75.70%,4.9,3.6,All
Nikoloz Basilashvili,250.5,60.10%,67.50%,49.60%,73.70%,4.2,4.6,All
Henri Laaksonen,250.5,58.70%,69.50%,47.90%,73.20%,5.6,4.4,All
Bjorn Fratangelo,250.5,56.40%,68.00%,51.20%,73.80%,4.7,3.6,All
Alexander Peya,250.5,61.40%,68.70%,46.70%,73.30%,4.3,3.9,All
David Prinosil,250.3,51.20%,74.70%,46.80%,75.40%,7.2,5,All
Ricardo Mello,250.2,63.50%,64.60%,50.90%,71.20%,2.5,2.5,All
Marinko Matosevic,250.2,59.70%,67.80%,48.20%,72.90%,4.5,2.9,All
Guillaume Rufin,250.2,54.50%,69.80%,49.40%,74.10%,7.3,4.9,All
Adrian Voinea,250.2,56.90%,69.00%,49.40%,72.60%,5.5,3.2,All
Jimmy Arias,250.1,69.10%,63.10%,49.30%,69.60%,1.9,2.9,All
Teymuraz Gabashvili,250.1,57.30%,70.00%,48.30%,74.00%,4.5,4,All
Benoit Paire,250.1,51.90%,74.40%,45.80%,74.40%,8.5,4.9,All
Diego Schwartzman,250.1,62.00%,65.80%,50.50%,72.40%,2.2,2.8,All
Davide Sanguinetti,250,56.20%,70.10%,47.50%,73.20%,5.5,2.5,All
Jan Vacek,249.9,57.60%,69.10%,48.70%,73.20%,4.6,3.3,All
Karim Alami,249.8,56.20%,70.60%,47.80%,73.60%,4.5,2.9,All
Carlos Berlocq,249.8,64.30%,65.90%,48.20%,70.70%,3.2,2.5,All
Taro Daniel,249.7,63.30%,65.90%,48.80%,71.20%,3.4,2.9,All
Martin Sinner,249.7,56.20%,71.00%,48.10%,74.70%,4.7,5,All
Martin Vassallo Arguello,249.7,67.60%,63.80%,48.40%,69.80%,2.7,2.6,All
Hernan Gumy,249.6,62.30%,67.30%,48.40%,72.40%,2.8,3.6,All
Marcelo Filippini,249.5,66.30%,63.70%,49.80%,69.90%,1.7,1.9,All
Lionel Roux,249.5,56.60%,68.80%,49.40%,73.90%,3.8,3,All
Werner Eschauer,249.4,58.40%,68.20%,48.30%,72.50%,5.1,3.1,All
Patrick McEnroe,249.4,60.70%,66.50%,49.10%,73.20%,3,3.1,All
David Pate,249.4,61.00%,67.50%,47.10%,71.70%,5.4,3.3,All
Mats Wilander,249.4,65.50%,66.30%,46.10%,70.80%,3,2.3,All
Jesse Levine,249.3,60.10%,67.30%,48.50%,72.90%,5,4.5,All
Jimmy Wang,249.3,61.70%,65.10%,50.10%,71.00%,3.7,2.3,All
Renzo Furlan,249.2,59.20%,67.20%,49.50%,72.00%,3.1,1.8,All
Jean-Philippe Fleurian,249.2,60.00%,66.80%,49.10%,72.90%,3.2,2.8,All
Thomas Fabbiano,249.2,65.30%,65.00%,49.20%,70.90%,2,3.2,All
Stefan Koubek,249.2,59.90%,66.10%,50.80%,71.90%,3.6,3.1,All
Emilio Benfele Alvarez,249,59.50%,68.40%,46.40%,73.70%,4.1,3.1,All
Jordi Arrese,249,72.30%,61.80%,48.00%,68.00%,1,2.1,All
Tomas Nydahl,249,65.70%,67.30%,45.10%,71.60%,3.4,4.1,All
Christian Vinck,249,64.70%,65.00%,48.20%,71.40%,3,3.3,All
Neville Godwin,248.9,54.30%,72.80%,46.80%,75.00%,5.3,5.3,All
Gabriel Markus,248.8,63.80%,64.80%,49.70%,71.40%,1.7,2.6,All
Andrej Martin,248.8,64.20%,63.70%,50.00%,70.60%,2.5,2.2,All
Peter Polansky,248.8,58.10%,68.00%,49.30%,72.20%,4.5,3.3,All
Damir Dzumhur,248.7,64.10%,65.00%,49.30%,70.60%,2.6,2.9,All
Harel Levy,248.7,58.10%,68.80%,47.50%,72.30%,3.9,1.9,All
Diego Nargiso,248.7,53.70%,72.90%,46.10%,74.60%,6.3,4.9,All
Fabrice Santoro,248.7,57.60%,67.00%,50.60%,72.80%,3.1,2.4,All
Robbie Weiss,248.6,66.50%,65.70%,46.20%,70.70%,2.4,2.9,All
Salvatore Caruso,248.5,60.00%,66.10%,49.40%,72.40%,3.5,2.9,All
Andrew Ilie,248.5,54.10%,69.10%,49.70%,74.10%,4.9,3.4,All
Corentin Moutet,248.5,68.20%,64.50%,47.60%,70.00%,2.3,4.1,All
Gilad Bloom,248.4,63.40%,65.40%,48.60%,71.30%,2.3,2.6,All
Malek Jaziri,248.4,53.80%,70.50%,48.50%,74.70%,4.1,3.2,All
Dudi Sela,248.4,60.20%,66.70%,50.30%,71.90%,2.3,3,All
Filip Dewulf,248.2,55.40%,71.10%,47.50%,74.70%,4,4.5,All
Bernd Karbacher,248.2,53.90%,70.50%,48.40%,73.00%,5.4,3,All
Slava Dosedel,248.1,64.80%,64.40%,48.70%,70.30%,2.6,2.7,All
Michael Russell,248.1,65.80%,64.70%,48.40%,69.90%,2.6,3.3,All
Ronald Agenor,248,64.20%,64.60%,48.20%,69.80%,3.1,1.9,All
Alex Antonitsch,248,55.00%,69.80%,48.60%,73.50%,4.4,3.3,All
Alessandro Giannessi,248,65.70%,65.00%,47.40%,70.70%,3.5,4.3,All
Fernando Meligeni,248,56.60%,68.90%,49.10%,73.20%,3.5,3.3,All
Tomas Zib,248,59.10%,67.00%,49.20%,71.10%,3.6,2,All
Tatsuma Ito,247.9,58.30%,67.60%,49.40%,71.80%,4.1,3.3,All
Danilo Marcelino,247.9,57.60%,68.60%,47.90%,73.00%,3.7,2.9,All
Christo Van Rensburg,247.9,58.00%,71.10%,47.30%,74.30%,4,6.8,All
Carlos Costa,247.8,55.50%,69.30%,48.70%,72.70%,4.2,2.6,All
Paolo Cane,247.7,50.90%,70.80%,49.20%,73.70%,5.2,2.1,All
Alejandro Falla,247.7,59.30%,66.70%,49.40%,71.70%,3.3,2.7,All
Donald Young,247.7,59.80%,67.30%,49.00%,72.20%,3.3,3.9,All
Jimmy Connors,247.6,65.10%,62.80%,50.10%,70.30%,1.8,2.5,All
Dennis Van Scheppingen,247.6,58.60%,69.60%,47.10%,72.70%,3.7,4.1,All
Hugo Dellien,247.5,73.10%,61.40%,46.70%,66.20%,2,1.9,All
Markus Hantschk,247.5,57.30%,68.40%,48.50%,71.90%,3.9,2.5,All
Juan Albert Viloca-Puig,247.5,60.10%,67.60%,47.90%,71.50%,3.2,2.8,All
Johan Van Herck,247.5,55.50%,69.20%,48.80%,73.40%,4.1,3.5,All
Todd Woodbridge,247.5,59.10%,68.80%,47.30%,73.80%,3,4.5,All
Hendrik Dreekmann,247.4,50.40%,73.70%,47.60%,75.20%,5.3,4.8,All
Adrian Garcia,247.4,59.70%,66.70%,50.20%,71.20%,2.6,3,All
Jesse Huta Galung,247.4,54.70%,72.60%,45.20%,71.90%,6.9,3.9,All
Lars Jonsson,247.4,66.00%,62.50%,49.30%,68.30%,2.8,1.5,All
Ryan Sweeting,247.4,63.20%,66.90%,46.70%,71.00%,4.3,4.7,All
Kevin Ullyett,247.4,56.50%,70.30%,47.80%,73.00%,5.3,5.5,All
Simon Greul,247.3,56.50%,67.80%,49.70%,72.80%,3.8,3.3,All
Luis Herrera,247.3,63.00%,64.70%,49.70%,71.30%,1.5,2.9,All
Karol Kucera,247.3,55.50%,70.80%,47.80%,73.00%,5,4.8,All
Tom Nijssen,247.3,48.40%,72.40%,50.10%,74.70%,5.4,3.7,All
Paul Capdeville,247.2,60.90%,66.50%,47.90%,70.80%,4.1,3,All
Lukas Dlouhy,247.1,61.90%,68.10%,45.90%,71.10%,5.4,5.3,All
Oscar Hernandez,247.1,65.20%,64.40%,47.60%,70.00%,2.4,2.5,All
Kevin Kim,247.1,58.20%,69.80%,46.10%,71.50%,4.8,3.3,All
Paul Wekesa,247.1,62.90%,68.00%,45.20%,71.40%,3.1,3.5,All
Andrea Gaudenzi,247,61.80%,66.50%,48.10%,71.60%,2.4,3.4,All
Galo Blanco,246.9,55.40%,68.60%,49.10%,72.40%,4.4,3,All
Karol Beck,246.9,54.30%,71.90%,46.40%,72.30%,6.4,4.4,All
Jaime Yzaga,246.9,59.50%,65.80%,50.40%,72.20%,2,3,All
Claudio Pistolesi,246.8,67.00%,62.30%,49.00%,68.20%,2.2,1.9,All
Oleg Ogorodov,246.8,59.00%,69.30%,44.40%,71.30%,5.5,2.7,All
Vincenzo Santopadre,246.7,55.70%,69.30%,48.10%,71.50%,4.1,2,All
Alejandro Davidovich Fokina,246.6,66.90%,63.70%,47.90%,68.80%,2,2.7,All
Lars Burgsmuller,246.5,58.70%,67.60%,48.30%,71.70%,3.9,3.7,All
Marzio Martelli,246.5,49.20%,75.80%,44.80%,74.00%,7,4.3,All
Fabio Fognini,246.4,59.00%,67.50%,48.50%,72.00%,3.3,3.9,All
Jiri Vanek,246.4,58.50%,69.20%,45.00%,70.80%,5.9,3,All
Guido Andreozzi,246.3,60.70%,68.50%,45.80%,71.90%,4.1,4.7,All
John Fitzgerald,246.3,61.80%,67.60%,47.70%,71.10%,2.2,4.1,All
Mark Petchey,246.3,57.70%,69.20%,46.50%,73.20%,4.8,5.1,All
Chris Wilkinson,246.3,59.30%,68.90%,45.40%,72.10%,4.4,3.8,All
Markus Naewie,246.2,62.30%,63.80%,50.10%,69.50%,2,1.5,All
Chris Garner,246,58.50%,65.10%,51.00%,69.30%,4.4,2.3,All
Rogerio Dutra Silva,246,60.80%,66.50%,48.80%,69.80%,3.3,3.2,All
Markus Hipfl,245.9,64.20%,64.50%,48.50%,68.70%,2.4,2.4,All
Udo Riglewski,245.9,60.40%,68.20%,45.80%,70.40%,3.5,2.4,All
Attila Savolt,245.9,55.30%,71.20%,46.70%,71.80%,4.9,4,All
Pablo Andujar,245.8,63.50%,64.60%,48.80%,70.40%,1.6,3.1,All
Pablo Arraya,245.8,61.20%,65.50%,47.90%,70.40%,3.6,2.8,All
Michel Kratochvil,245.8,56.00%,69.60%,48.40%,73.10%,3.7,5,All
Gerard Solves,245.8,62.70%,66.10%,46.40%,69.70%,3.4,2.5,All
Olivier Delaitre,245.7,53.90%,69.60%,49.20%,73.20%,3.4,3.6,All
Bohdan Ulihrach,245.7,57.40%,68.00%,48.50%,72.30%,3.2,3.7,All
Roberto Carretero,245.6,69.10%,63.60%,46.00%,69.50%,1.3,3.9,All
Andrei Cherkasov,245.6,60.10%,65.80%,49.00%,70.80%,2.4,2.5,All
Martin Jaite,245.6,51.70%,69.20%,49.80%,72.80%,4.6,2.5,All
Victor Crivoi,245.4,64.20%,64.10%,47.70%,67.80%,3.6,2,All
Jan Kroslak,245.4,60.90%,68.90%,44.00%,72.20%,5.3,5.9,All
Flavio Saretta,245.4,58.50%,66.70%,48.40%,70.80%,4.1,3.1,All
Martin Rodriguez,245.2,50.00%,71.90%,48.10%,73.20%,6.6,4.6,All
Elias Ymer,245.2,59.20%,67.70%,46.80%,70.90%,4,3.4,All
Sebastien De Chaunac,245.1,54.80%,68.30%,48.60%,71.40%,5.8,3.8,All
Horacio de la Pena,245.1,69.40%,60.50%,49.00%,66.30%,1.2,1.3,All
Paul Goldstein,245,61.90%,64.90%,48.30%,70.10%,2.4,2.6,All
Igor Kunitsyn,245,60.00%,65.00%,49.60%,69.50%,2.7,1.8,All
Fernando Vicente,245,60.00%,66.00%,48.50%,70.30%,3,2.8,All
Arnaud Di Pasquale,244.9,63.20%,64.90%,48.40%,69.80%,2.5,3.9,All
Rodolphe Gilbert,244.9,51.70%,70.30%,48.60%,72.60%,4.3,2.6,All
Michael Joyce,244.9,57.00%,68.10%,48.00%,72.00%,3.6,3.8,All
Jacobo Diaz,244.8,66.20%,62.40%,49.30%,67.60%,2.3,3,All
Mikael Ymer,244.8,67.20%,63.30%,47.10%,68.10%,2.6,3.5,All
Marcos Daniel,244.7,61.40%,65.90%,46.60%,68.60%,4.3,2.1,All
Horst Skoff,244.7,58.60%,66.00%,49.30%,70.60%,2.9,2.7,All
Eric Jelen,244.6,68.70%,61.90%,46.60%,68.80%,1.4,2.8,All
Filippo Volandri,244.6,68.50%,61.90%,48.50%,67.40%,0.7,2.4,All
Nicolas Coutelot,244.5,61.10%,66.20%,46.30%,71.10%,3.4,3.6,All
Ivo Heuberger,244.5,52.10%,71.30%,46.30%,71.90%,6.4,3.5,All
Yuki Bhambri,244.4,63.80%,63.60%,48.90%,69.20%,2.3,3.4,All
Alberto Martin,244.4,61.10%,65.40%,49.10%,70.20%,2,3.4,All
John van Lottum,244.4,53.90%,69.70%,48.60%,71.90%,3.6,3.3,All
Nicolas Devilder,244.3,59.70%,65.00%,48.90%,70.10%,3.8,3.2,All
Alex Kim,244.3,64.00%,62.60%,50.00%,68.70%,2.1,3.1,All
Ramesh Krishnan,244.3,69.00%,61.70%,48.60%,67.00%,0.6,2.6,All
Jeremy Bates,244,55.70%,70.10%,46.10%,72.70%,3.4,4,All
Oliver Marach,244,55.50%,68.40%,47.70%,70.70%,4.6,2.9,All
Jordi Burillo,243.9,52.40%,71.80%,46.00%,71.50%,5.9,3.7,All
Denis Gremelmayr,243.8,57.30%,66.00%,49.00%,70.20%,3.9,2.6,All
Inigo Cervantes,243.7,51.10%,71.20%,47.50%,71.70%,6.4,4.2,All
Nuno Marques,243.7,64.40%,64.20%,46.60%,68.70%,2.8,3,All
Franco Squillari,243.7,57.00%,68.30%,47.50%,72.00%,3.6,4.7,All
Irakli Labadze,243.6,61.10%,67.50%,45.70%,70.40%,4.7,5.8,All
Peter Lundgren,243.6,52.20%,69.20%,49.00%,72.90%,5,4.7,All
Cristiano Caratti,243.5,63.60%,64.20%,47.80%,69.10%,2.1,3.3,All
Sandor Noszaly,243.5,65.00%,66.80%,42.40%,69.20%,5.1,5,All
Wayne Black,243.4,57.90%,64.50%,50.90%,69.70%,2.9,2.5,All
Xavier Daufresne,243.4,61.60%,66.80%,45.80%,68.50%,3.3,2.6,All
Tobias Kamke,243.4,58.90%,65.50%,49.40%,71.00%,2,3.4,All
Sergio Roitman,243.4,64.10%,63.90%,46.30%,67.70%,3,1.6,All
Marc Lopez,243.3,66.30%,62.60%,47.00%,68.10%,0.6,1.3,All
Danai Udomchoke,243.1,61.50%,66.40%,46.30%,69.10%,3.4,3.6,All
Blaz Kavcic,243,62.90%,65.50%,46.20%,68.00%,4.2,3.8,All
Stefano Pescosolido,243,52.10%,71.00%,47.50%,72.40%,4.4,4.4,All
Tomas Behrend,242.9,59.90%,67.60%,45.90%,69.40%,3.9,3.8,All
Alejandro Gonzalez,242.8,59.70%,65.70%,47.50%,68.40%,3.9,2.4,All
Luke Jensen,242.8,58.30%,68.20%,45.80%,70.30%,4.3,4.1,All
Vincent Millot,242.8,59.20%,66.50%,47.10%,69.20%,4.1,3.3,All
Carsten Arriens,242.6,57.60%,67.40%,46.60%,70.10%,3.2,2.3,All
Gastao Elias,242.6,52.30%,68.70%,49.90%,70.80%,3.8,2.9,All
Mauricio Hadad,242.6,63.10%,62.60%,49.10%,68.80%,1.4,2.4,All
Claudio Mezzadri,242.6,55.80%,67.10%,49.30%,70.70%,2.8,3.1,All
Christian Miniussi,242.6,58.80%,66.90%,47.80%,69.70%,2.6,3.2,All
Grant Stafford,242.6,60.10%,67.60%,45.40%,69.70%,3.6,3.8,All
Stefano Galvani,242.4,58.80%,65.80%,49.30%,70.30%,2.8,4.6,All
Go Soeda,242.4,55.90%,67.30%,48.50%,70.50%,2.9,2.7,All
Thiago Alves,242.3,63.60%,63.50%,47.80%,67.30%,2.7,2.6,All
Stephane Huet,242.3,51.40%,69.50%,47.90%,70.70%,6,3.2,All
Maximo Gonzalez,242.3,64.60%,62.60%,47.70%,68.20%,1.8,2.6,All
David Sanchez,242.1,61.30%,64.90%,47.50%,68.30%,2.4,2.3,All
Todd Witsken,242.1,60.10%,65.80%,47.60%,69.50%,2.5,3.4,All
Scott Davis,242,56.50%,69.20%,46.10%,72.20%,3.4,5.4,All
Tomas Carbonell,242,67.20%,64.50%,44.00%,67.50%,2.7,3.9,All
Rui Machado,242,66.40%,62.90%,46.50%,68.10%,1.6,3.5,All
Marcos Aurelio Gorriz,241.9,59.10%,65.20%,48.10%,69.00%,2.2,1.7,All
Jan Hajek,241.8,62.80%,63.70%,47.20%,66.90%,3.1,1.9,All
Albert Portas,241.8,57.20%,67.90%,46.40%,69.90%,4.1,3.7,All
Cecil Mamiit,241.7,58.10%,66.40%,48.00%,68.80%,3.2,2.8,All
Jose Francisco Altur,241.6,65.50%,64.00%,44.80%,67.60%,2.8,3.1,All
Martin Lee,241.6,57.60%,68.60%,44.20%,68.80%,5.1,2.7,All
Cedrik-Marcel Stebe,241.6,61.30%,64.70%,47.20%,67.80%,3.5,2.9,All
Gianluca Pozzi,241.4,48.10%,71.50%,48.60%,72.00%,4,2.8,All
Maurice Ruah,241.3,57.50%,66.50%,47.60%,69.60%,2.9,2.8,All
Marcello Craca,240.9,64.30%,61.10%,49.90%,65.60%,2.4,2.4,All
