last_name, first_name,player_id,team_name_alt,pitch_type,pitch_name,run_value_per_100,run_value,pitches,pitch_usage,pa,ba,slg,woba,whiff_percent,k_percent,put_away,est_ba,est_slg,est_woba,hard_hit_percent
Ponce de Leon, Daniel,594965,STL,FF,4-Seamer,0.8,3,396,61.3,92,0.205,0.538,0.366,34.4,38,25.4,0.217,0.49,0.354,48.8
Bundy, Dylan,605164,LAA,FF,4-Seamer,-1,-3,342,33.6,92,0.241,0.446,0.34,18.5,20.7,23.5,0.221,0.386,0.3,35.9
Greinke, Zack,425844,HOU,FF,4-Seamer,0.2,1,432,40.8,92,0.321,0.536,0.388,14.4,18.5,17,0.305,0.579,0.392,45.6
García, Deivi,665620,NYY,FF,4-Seamer,-1,-3,317,59.6,91,0.238,0.405,0.317,17.1,20.9,20.7,0.264,0.466,0.338,50.8
Dobnak, Randy,677976,MIN,SIFT,Sinker,1.4,4,328,43.9,91,0.338,0.487,0.409,10.8,4.4,6.7,0.29,0.412,0.351,52.6
Gray, Sonny,543243,CIN,SIFT,Sinker,-2,-5,258,26.7,91,0.133,0.227,0.26,26.5,36.3,29.2,0.158,0.269,0.274,38.1
Brubaker, JT,664141,PIT,SIFT,Sinker,1.2,3,282,35.1,91,0.268,0.439,0.345,17,12.1,15.3,0.266,0.436,0.337,34.7
Webb, Logan,657277,SF,FF,4-Seamer,2.3,8,336,33.7,90,0.329,0.507,0.434,22.3,18.9,16.8,0.301,0.519,0.413,42.9
Bieber, Shane,669456,CLE,CUKC,Curveball,-3,-10,325,26.3,89,0.095,0.143,0.137,51.5,56.2,30.7,0.114,0.156,0.151,35.3
Carrasco, Carlos,471911,CLE,CH,Changeup,-0.6,-2,308,28,89,0.253,0.367,0.328,34.3,23.6,27.3,0.218,0.326,0.287,36.2
Woodruff, Brandon,605540,MIL,SIFT,Sinker,-1.3,-5,371,30.6,88,0.244,0.308,0.286,16.2,13.6,14.3,0.242,0.359,0.3,35.8
Fiers, Mike,571666,OAK,FF,4-Seamer,-2.8,-8,289,31.6,88,0.205,0.361,0.259,11.5,17,16.1,0.202,0.362,0.266,42
Velasquez, Vince,592826,PHI,FF,4-Seamer,0.2,1,343,52.8,88,0.239,0.479,0.379,25.9,33,23.6,0.21,0.393,0.339,52.4
Wisler, Matt,605538,MIN,SL,Slider,-2.6,-10,378,83.4,88,0.143,0.221,0.224,37.9,35.2,24.8,0.141,0.266,0.237,23.9
Stripling, Ross,548389,TOR,FF,4-Seamer,2.5,9,355,43.6,88,0.333,0.787,0.496,14.3,13.6,15,0.338,0.735,0.478,46.2
López, Pablo,641154,MIA,FF,4-Seamer,-0.1,0,291,32.2,88,0.227,0.36,0.32,28.4,33,23.8,0.203,0.375,0.306,40.4
Glasnow, Tyler,607192,TB,CUKC,Curveball,0.1,0,335,34.8,87,0.12,0.277,0.206,52.8,66.7,36,0.1,0.182,0.162,20
Civale, Aaron,650644,CLE,FC,Cutter,-0.5,-2,345,28.7,87,0.291,0.468,0.352,26.5,24.1,23.1,0.277,0.437,0.333,33.9
Bubic, Kris,663460,KC,CH,Changeup,0.9,3,278,29.8,86,0.244,0.474,0.35,31.1,16.3,15.7,0.265,0.473,0.349,37.5
Burnes, Corbin,669203,MIL,FC,Cutter,-3.4,-11,318,31.5,86,0.162,0.203,0.235,32.9,41.9,29.5,0.169,0.285,0.266,23.7
Anderson, Brett,474463,MIL,SIFT,Sinker,0.6,2,305,40.6,85,0.316,0.526,0.398,11.4,8.2,9.5,0.317,0.496,0.376,60
Senzatela, Antonio,622608,COL,SL,Slider,-1.9,-5,279,24.6,85,0.165,0.253,0.217,32.1,21.2,16.1,0.224,0.346,0.278,24.6
Sánchez, Aníbal,434671,WSH,FS,Splitter,-2.5,-7,283,29.1,85,0.211,0.25,0.256,35.5,28.2,22.6,0.193,0.257,0.249,26.9
Cueto, Johnny,456501,SF,FF,4-Seamer,1.8,7,378,33,85,0.343,0.629,0.465,15.5,15.3,9.5,0.318,0.585,0.439,41.4
Berríos, José,621244,MIN,CUKC,Curveball,-2.4,-8,328,29.8,84,0.167,0.231,0.211,35,41.7,26.9,0.178,0.269,0.229,27.9
Richards, Garrett,572070,SD,SL,Slider,-0.9,-3,298,37.8,84,0.147,0.333,0.254,39.2,40.5,26.4,0.165,0.383,0.277,34.1
Freeland, Kyle,607536,COL,CH,Changeup,-1,-3,270,24,84,0.308,0.41,0.352,18.2,9.5,16.3,0.3,0.409,0.334,41.4
Kuhl, Chad,641771,PIT,SIFT,Sinker,2.3,8,332,42.1,83,0.3,0.667,0.483,8.3,4.8,6.9,0.369,0.766,0.534,52.6
McCullers Jr., Lance,621121,HOU,CUKC,Curveball,0.8,3,332,37.6,83,0.224,0.461,0.332,42.1,33.7,28,0.235,0.478,0.333,33.3
Castillo, Luis,622491,CIN,SIFT,Sinker,-0.9,-3,291,25.2,83,0.263,0.316,0.304,13.1,8.4,13.7,0.293,0.38,0.328,46.4
Sandoval, Patrick,663776,LAA,FF,4-Seamer,0.8,2,267,44.6,82,0.324,0.568,0.422,8.1,8.5,13,0.338,0.564,0.415,55.2
Weaver, Luke,596133,ARI,CH,Changeup,-0.5,-1,264,27.3,81,0.227,0.387,0.294,34.9,29.6,20.5,0.209,0.346,0.27,25.5
Tanaka, Masahiro,547888,NYY,SL,Slider,-0.3,-1,290,37.7,81,0.26,0.429,0.315,40.6,35.8,30.5,0.184,0.309,0.234,35.4
Sheffield, Justus,656954,SEA,SL,Slider,-1.7,-5,295,33.5,81,0.192,0.219,0.236,28.1,37,23.1,0.188,0.257,0.241,38.6
Wheeler, Zack,554430,PHI,SIFT,Sinker,-2.7,-7,255,23.7,81,0.23,0.27,0.273,13,12.3,15.6,0.23,0.307,0.276,31.3
Webb, Logan,657277,SF,CH,Changeup,-1.5,-5,307,30.8,81,0.23,0.378,0.309,28.4,21,16.5,0.25,0.352,0.298,45.6
Fleming, Josh,676596,TB,SIFT,Sinker,-3.4,-8,251,53.4,81,0.224,0.276,0.249,18.9,14.8,27.9,0.239,0.302,0.268,35.9
Berríos, José,621244,MIN,SIFT,Sinker,-2.3,-7,281,25.5,80,0.229,0.286,0.279,18.2,16.3,17.8,0.241,0.348,0.301,35.6
Plesac, Zach,668676,CLE,FF,4-Seamer,0.6,2,292,37.6,80,0.321,0.577,0.389,15.1,17.5,19.2,0.318,0.632,0.405,43.8
Walker, Taijuan,592836,TOR,FF,4-Seamer,-1,-4,338,38.2,80,0.156,0.344,0.309,23.1,22.5,15.7,0.231,0.486,0.375,44.7
Matzek, Tyler,554431,ATL,FF,4-Seamer,-3,-9,299,61.9,79,0.225,0.338,0.289,25.9,36.7,29.6,0.17,0.289,0.245,33.3
Clarke, Taylor,664199,ARI,FF,4-Seamer,-0.2,-1,320,45.5,79,0.217,0.449,0.344,16.3,19,17,0.263,0.522,0.375,44.4
Wojciechowski, Asher,592879,BAL,FF,4-Seamer,2.7,9,310,46,78,0.348,0.681,0.465,24,16.7,14.4,0.266,0.535,0.378,35.7
López, Jorge,605347,BAL,SIFT,Sinker,1.4,3,243,38.3,78,0.329,0.471,0.392,16.1,14.1,25,0.284,0.496,0.364,58.3
Hill, Rich,448179,MIN,CUKC,Curveball,-1.1,-3,284,45.9,78,0.174,0.203,0.228,15.6,17.9,14.6,0.239,0.332,0.299,18.2
Soto, Gregory,642397,DET,SIFT,Sinker,0.2,1,296,75.1,78,0.219,0.344,0.324,17,20.5,21.6,0.221,0.351,0.325,37.5
Estévez, Carlos,608032,COL,FF,4-Seamer,0.5,1,268,61.5,77,0.246,0.609,0.389,25,27.3,28.4,0.258,0.509,0.36,56.3
Keuchel, Dallas,572971,CWS,FC,Cutter,-3.5,-10,297,30.9,77,0.203,0.246,0.256,21.4,10.4,13.1,0.328,0.517,0.393,35.5
Lyles, Jordan,543475,TEX,CUKC,Curveball,0.6,2,296,29.8,77,0.235,0.338,0.295,24.3,28.6,18,0.215,0.33,0.278,47.9
López, Pablo,641154,MIA,CH,Changeup,0.2,0,270,29.9,77,0.216,0.351,0.26,32.9,32.5,24,0.197,0.292,0.23,34.7
Means, John,607644,BAL,FF,4-Seamer,-0.8,-3,390,52.3,77,0.155,0.366,0.255,28.9,36.4,19.4,0.126,0.262,0.204,44.2
Peralta, Freddy,642547,MIL,FF,4-Seamer,-2.1,-8,364,65.8,77,0.203,0.275,0.251,36.6,37.7,29.9,0.185,0.318,0.258,39
Keller, Brad,641745,KC,FF,4-Seamer,-0.8,-3,329,38.3,76,0.179,0.269,0.245,11.1,14.5,9.5,0.28,0.46,0.353,28.1
Cole, Gerrit,543037,NYY,SL,Slider,-1.2,-3,294,24.4,76,0.132,0.265,0.235,43.3,40.8,22.8,0.143,0.194,0.204,35.1
McGee, Jake,459429,LAD,FF,4-Seamer,-1.5,-5,320,96.4,75,0.194,0.361,0.259,34,40,24.6,0.193,0.363,0.246,48.8
Greinke, Zack,425844,HOU,CH,Changeup,-2.4,-5,233,22,75,0.147,0.253,0.171,46.2,41.3,33.7,0.171,0.303,0.203,38.6
Luzardo, Jesús,666200,OAK,SIFT,Sinker,-1,-2,193,20.5,75,0.279,0.485,0.368,9,9.3,25,0.313,0.491,0.372,38.7
Baragar, Caleb,670056,SF,FF,4-Seamer,-1.5,-4,260,74.5,75,0.214,0.414,0.285,20,24,19.1,0.21,0.437,0.296,39.6
Gausman, Kevin,592332,SF,FS,Splitter,-3.3,-9,270,27.7,75,0.097,0.139,0.126,49,54.7,31.3,0.096,0.121,0.121,9.4
Nola, Aaron,605400,PHI,CH,Changeup,-0.7,-2,314,27.4,75,0.225,0.296,0.253,36,30.7,23.5,0.227,0.259,0.242,25
Pérez, Martín,527048,BOS,CH,Changeup,0.3,1,266,25.8,75,0.265,0.515,0.375,32,16,17.6,0.273,0.475,0.352,25
Lynn, Lance,458681,TEX,FC,Cutter,-1,-3,311,22.1,74,0.203,0.42,0.294,21.4,18.9,16.1,0.223,0.37,0.277,32.1
Lynn, Lance,458681,TEX,SIFT,Sinker,-0.3,-1,253,18,74,0.222,0.365,0.318,18.3,20.3,17.6,0.206,0.291,0.287,45.8
Happ, J.A.,457918,NYY,FF,4-Seamer,-0.3,-1,349,44.3,74,0.21,0.452,0.34,21.9,24.3,17.1,0.194,0.327,0.292,40
Flaherty, Jack,656427,STL,FF,4-Seamer,0.2,1,318,44.2,74,0.238,0.397,0.331,24.3,28.4,21.6,0.305,0.562,0.41,37.2
Akin, Keegan,669211,BAL,FF,4-Seamer,-1.1,-4,310,62,74,0.231,0.369,0.305,28,32.4,24,0.242,0.445,0.333,55.8
Porcello, Rick,519144,NYM,SL,Slider,1.1,3,287,29.2,74,0.292,0.403,0.313,21.7,21.6,16.3,0.301,0.473,0.34,30.4
Kuhl, Chad,641771,PIT,SL,Slider,-2.3,-6,272,34.5,74,0.194,0.254,0.244,39.1,32.4,25.3,0.236,0.357,0.298,30.2
Peterson, David,656849,NYM,FF,4-Seamer,-1.7,-5,304,37.4,74,0.164,0.262,0.274,20.3,13.5,14.1,0.213,0.367,0.327,39.2
Burnes, Corbin,669203,MIL,SIFT,Sinker,-0.5,-2,334,33.1,74,0.25,0.406,0.349,18.4,13.5,21.7,0.313,0.581,0.419,51.9
Valdez, Phillips,570488,BOS,CH,Changeup,-2,-5,249,48.9,74,0.194,0.29,0.279,36.8,29.7,27.2,0.179,0.258,0.262,24.4
Staumont, Josh,622251,KC,FF,4-Seamer,-1.4,-4,321,68,74,0.224,0.241,0.314,32.3,21.6,18,0.213,0.322,0.331,52.4
Roark, Tanner,543699,TOR,FF,4-Seamer,1.9,5,286,31.7,73,0.328,0.688,0.459,20.6,13.7,12.8,0.274,0.526,0.378,51.9
Givens, Mychal,571710,COL,FF,4-Seamer,-1.4,-4,269,64.8,73,0.177,0.419,0.306,23.3,28.8,20.4,0.195,0.419,0.313,35.7
Cisnero, José,542585,DET,FF,4-Seamer,-1,-3,303,58.4,73,0.274,0.403,0.354,27.5,23.3,19.5,0.267,0.463,0.369,57.8
Buttrey, Ty,621142,LAA,FF,4-Seamer,0.5,1,249,58.2,73,0.318,0.515,0.376,16.8,15.1,14.1,0.27,0.458,0.331,38.6
McKenzie, Triston,663474,CLE,FF,4-Seamer,-1.6,-5,292,53.1,73,0.194,0.328,0.262,23.7,34.2,23.6,0.212,0.419,0.299,38.1
Ray, Robbie,592662,TOR,SL,Slider,-1,-3,324,30.5,73,0.164,0.224,0.206,47.1,45.2,29.7,0.176,0.273,0.217,36.1
Skubal, Tarik,669373,DET,FF,4-Seamer,0.1,0,348,58.9,73,0.25,0.547,0.372,28.3,28.8,20,0.201,0.441,0.305,42.2
Wainwright, Adam,425794,STL,SIFT,Sinker,-0.3,-1,252,27.1,72,0.2,0.415,0.326,13.3,23.6,25.4,0.239,0.449,0.33,37.5
Suero, Wander,593833,WSH,FC,Cutter,-1.7,-5,309,81.1,72,0.222,0.349,0.302,32.5,26.4,25,0.216,0.414,0.318,36.4
Gomber, Austin,596295,STL,FF,4-Seamer,-2.5,-7,276,52.5,72,0.143,0.161,0.253,21.2,19.4,15.9,0.227,0.309,0.323,34.1
Yardley, Eric,642233,MIL,SIFT,Sinker,-1.5,-4,267,65.1,71,0.266,0.422,0.348,14.9,12.7,10.3,0.271,0.443,0.345,45.5
King, Michael,650633,NYY,SIFT,Sinker,2,6,285,60.6,71,0.322,0.508,0.415,16.8,22.5,23.2,0.244,0.365,0.336,41.9
Kim, Kwang Hyun,547942,STL,FF,4-Seamer,-2.5,-7,298,48.6,71,0.182,0.303,0.28,13.1,12.7,11.5,0.253,0.386,0.304,33.3
Pérez, Martín,527048,BOS,FC,Cutter,0,0,331,32,71,0.172,0.266,0.289,18.2,21.1,18.8,0.232,0.341,0.29,26.5
Bumgarner, Madison,518516,ARI,FC,Cutter,1.5,4,260,36.6,71,0.288,0.667,0.421,22.2,21.1,17.4,0.316,0.62,0.405,40.4
Gallen, Zac,668678,ARI,CH,Changeup,-0.8,-2,212,19,71,0.206,0.397,0.305,43.8,29.6,30.9,0.217,0.328,0.286,47.6
Dayton, Grant,594795,ATL,FF,4-Seamer,-0.9,-3,294,60,71,0.175,0.397,0.29,32.5,31,20.2,0.184,0.452,0.312,36.6
Gonzales, Marco,594835,SEA,FC,Cutter,-0.7,-2,258,24.4,71,0.188,0.377,0.251,21.2,23.9,16.7,0.237,0.504,0.317,32.7
Luzardo, Jesús,666200,OAK,FF,4-Seamer,0.3,1,307,32.7,71,0.215,0.508,0.334,19.8,22.5,21.3,0.262,0.513,0.355,46.9
Eovaldi, Nathan,543135,BOS,FC,Cutter,0.5,1,233,31.1,71,0.309,0.544,0.403,24.6,12.7,15,0.298,0.55,0.373,42.4
Lester, Jon,452657,CHC,FF,4-Seamer,1.6,4,280,27.8,71,0.295,0.639,0.43,8.2,5.6,6,0.344,0.767,0.489,48.3
Bumgarner, Madison,518516,ARI,FF,4-Seamer,0.2,0,276,38.9,70,0.274,0.548,0.4,8.4,12.9,10.3,0.322,0.717,0.462,47.2
Crichton, Stefan,592233,ARI,SIFT,Sinker,-1.9,-5,243,60.4,70,0.262,0.338,0.306,12.2,14.3,17.9,0.315,0.43,0.35,45.5
Heaney, Andrew,571760,LAA,CH,Changeup,-0.9,-2,189,17.4,70,0.242,0.333,0.276,26.1,15.7,18.3,0.275,0.386,0.309,30.9
Rodríguez, Richard,593144,PIT,FF,4-Seamer,-1.5,-4,281,71.7,70,0.206,0.365,0.292,27.1,30,22.1,0.222,0.386,0.29,51.2
Gallen, Zac,668678,ARI,FC,Cutter,0.5,1,287,25.7,70,0.318,0.5,0.386,28,20,22.6,0.299,0.492,0.358,26.9
Freeland, Kyle,607536,COL,SL,Slider,0.5,1,266,23.7,70,0.254,0.508,0.359,32.3,22.9,17.6,0.24,0.403,0.319,25.5
Green, Chad,643338,NYY,FF,4-Seamer,-2.5,-8,314,73.9,70,0.111,0.302,0.219,31.3,34.3,22,0.164,0.364,0.251,24.4
Kintzler, Brandon,445213,MIA,SIFT,Sinker,-1.4,-4,255,74.3,70,0.242,0.403,0.353,11.2,11.4,14.5,0.286,0.483,0.365,41.8
Colomé, Alex,517008,CWS,FC,Cutter,-3.9,-10,262,71.6,69,0.154,0.2,0.199,32.9,18.8,15.1,0.19,0.25,0.22,25
Oviedo, Johan,670912,STL,FF,4-Seamer,0.9,2,249,56.1,69,0.254,0.492,0.359,13.2,11.6,13.1,0.341,0.596,0.429,57.7
Kershaw, Clayton,477132,LAD,FF,4-Seamer,-1.5,-5,365,41.1,69,0.203,0.453,0.307,18.2,18.8,18.3,0.252,0.539,0.347,44.2
Brault, Steven,643230,PIT,FF,4-Seamer,0.4,1,290,38.9,68,0.149,0.149,0.312,20.9,23.5,17.2,0.201,0.281,0.352,25
Mahle, Tyler,641816,CIN,SL,Slider,-1.2,-3,276,32.4,68,0.18,0.361,0.269,41.5,36.8,22.9,0.18,0.321,0.243,36.8
Hoffman, Jeff,656546,COL,FF,4-Seamer,2.7,6,218,54.6,68,0.356,0.627,0.448,14.3,11.8,15.1,0.342,0.61,0.422,60.4
Bundy, Dylan,605164,LAA,SL,Slider,-2.6,-7,255,25,68,0.138,0.2,0.171,50,50,31.2,0.15,0.199,0.176,29
Cordero, Jimmy,622772,CWS,SIFT,Sinker,-3.1,-8,250,59,68,0.233,0.283,0.304,15,8.8,16.7,0.264,0.386,0.326,30.9
Finnegan, Kyle,640448,WSH,SIFT,Sinker,-1.2,-4,294,70.2,68,0.262,0.361,0.329,20,19.1,15.1,0.258,0.408,0.328,27.1
Barria, Jaime,642545,LAA,SL,Slider,-3.2,-8,234,45.8,67,0.188,0.328,0.229,27.7,28.4,22.1,0.178,0.252,0.205,30.4
Buehler, Walker,621111,LAD,FF,4-Seamer,-3.2,-10,323,53.8,67,0.102,0.119,0.169,26.1,34.3,24,0.124,0.183,0.198,30.6
Williams, Devin,642207,MIL,CH,Changeup,-5.7,-13,227,52.7,67,0.032,0.032,0.093,61.1,61.2,52.6,0.064,0.074,0.109,9.5
Hernandez, Elieser,622694,MIA,FF,4-Seamer,0.4,1,267,58.9,67,0.274,0.484,0.361,23.1,26.9,19.6,0.231,0.407,0.311,40.9
Yarbrough, Ryan,642232,TB,CH,Changeup,-0.6,-1,250,30,67,0.215,0.323,0.247,36,19.4,14,0.235,0.369,0.272,15.4
García, Rony,665621,DET,FF,4-Seamer,2.5,6,248,63.1,67,0.317,0.617,0.426,20.2,13.4,15.3,0.339,0.602,0.428,47.1
Dobnak, Randy,677976,MIN,SL,Slider,-2.1,-6,264,35.3,67,0.219,0.234,0.225,33.8,28.4,20,0.204,0.276,0.23,31.1
Keuchel, Dallas,572971,CWS,CH,Changeup,-1.7,-5,268,27.9,67,0.159,0.19,0.22,33.9,16.4,16.7,0.212,0.248,0.227,13.2
Alcantara, Sandy,645261,MIA,SIFT,Sinker,-3.1,-7,231,34.9,67,0.179,0.196,0.281,16.1,10.4,25,0.254,0.35,0.334,28.6
Matz, Steven,571927,NYM,SIFT,Sinker,2.8,9,340,53.7,67,0.322,0.678,0.466,20.6,19.4,14.9,0.306,0.559,0.404,47.8
Bundy, Dylan,605164,LAA,CH,Changeup,-0.6,-1,217,21.3,66,0.22,0.39,0.306,32.7,16.7,19.6,0.23,0.349,0.297,39.6
Plutko, Adam,592644,CLE,FF,4-Seamer,0.3,1,224,50.2,66,0.25,0.433,0.322,25.8,10.6,8.5,0.268,0.412,0.321,35.2
Rogers, Trevor,669432,MIA,FF,4-Seamer,0.8,2,308,54.2,66,0.314,0.627,0.444,29.7,31.8,22.1,0.195,0.344,0.314,40.6
Erlin, Robbie,572362,ATL,FF,4-Seamer,1.1,3,257,55.7,66,0.274,0.645,0.389,16.3,18.2,15.8,0.24,0.549,0.344,39.2
Jackson, Luke,592426,ATL,SL,Slider,3.8,8,213,43.6,66,0.357,0.429,0.389,29.8,19.7,14.4,0.26,0.301,0.31,37.8
Harris, Will,501789,WSH,FC,Cutter,-0.5,-1,267,76.5,66,0.246,0.404,0.363,27.2,22.7,19,0.253,0.423,0.343,45.2
Eovaldi, Nathan,543135,BOS,FF,4-Seamer,0.1,0,282,37.7,66,0.328,0.574,0.403,21.6,30.3,20.8,0.268,0.449,0.329,47.6
Wright, Kyle,657140,ATL,SIFT,Sinker,-2,-4,203,31.7,65,0.2,0.364,0.31,18.9,16.9,21.2,0.261,0.467,0.368,45.5
Freeland, Kyle,607536,COL,CUKC,Curveball,-0.3,-1,212,18.9,65,0.246,0.295,0.281,18.8,21.5,17.3,0.263,0.364,0.296,31.9
Hudson, Daniel,543339,WSH,FF,4-Seamer,-0.4,-1,287,75.9,65,0.17,0.434,0.341,27.8,26.2,19.1,0.186,0.431,0.332,37.8
Peterson, David,656849,NYM,SL,Slider,-2.6,-6,210,25.9,65,0.119,0.254,0.206,37.1,36.9,22.4,0.133,0.251,0.212,22.9
Stammen, Craig,489334,SD,SIFT,Sinker,2.3,5,221,58.6,65,0.333,0.476,0.38,16,12.3,16.7,0.279,0.387,0.288,33.3
