Player,Under Pressure Rating,% Break Points Converted,% Break Points Saved,% Tie Breaks Won,% Deciding Sets Won,Surface
Albert Ramos-Vinolas,190.2,40.30%,60.90%,39.90%,49.10%,All
Sebastien Lareau,190.1,38.70%,60.70%,48.30%,42.40%,All
Jeff Tarango,190,41.20%,59.70%,42.30%,46.80%,All
Malek Jaziri,189.9,36.90%,61.90%,42.50%,48.60%,All
Eric Jelen,189.8,41.80%,57.40%,44.40%,46.20%,All
Yannick Hanfmann,189.6,33.20%,63.00%,38.90%,54.50%,All
Leonardo Mayer,189.6,36.60%,61.80%,52.90%,38.30%,All
Jiri Vanek,189.6,40.70%,58.80%,48.80%,41.30%,All
Arne Thoms,189.6,42.50%,58.50%,41.90%,46.70%,All
Matthew Ebden,189.5,39.30%,57.10%,40.80%,52.30%,All
Jan Hernych,189.5,40.70%,59.30%,46.40%,43.10%,All
Jonathan Stark,189.5,37.00%,61.60%,50.70%,40.20%,All
Federico Delbonis,189.4,39.50%,60.50%,45.00%,44.40%,All
Christo Van Rensburg,189.4,37.90%,58.40%,51.20%,41.90%,All
Alex Antonitsch,189.3,40.40%,60.30%,42.90%,45.70%,All
Michael Llodra,189.3,36.40%,62.10%,48.80%,42.00%,All
Mischa Zverev,189.3,38.40%,60.40%,45.50%,45.00%,All
Hernan Gumy,189.2,43.00%,56.50%,49.40%,40.30%,All
Christian Ruud,189.1,41.10%,55.30%,50.90%,41.80%,All
Todd Witsken,189.1,41.70%,51.60%,50.00%,45.80%,All
Frank Dancevic,189,33.50%,60.90%,52.80%,41.80%,All
Christian Saceanu,189,37.40%,57.80%,57.10%,36.70%,All
Tommy Paul,189,40.10%,59.40%,43.30%,46.20%,All
Patrick Baur,188.8,36.30%,60.60%,51.90%,40.00%,All
Mikhail Kukushkin,188.8,40.90%,60.20%,45.40%,42.30%,All
Jaume Munar,188.8,36.50%,59.20%,54.40%,38.70%,All
Jan Vacek,188.8,38.00%,57.70%,48.30%,44.80%,All
Thiago Monteiro,188.7,39.80%,61.40%,50.00%,37.50%,All
Grant Stafford,188.7,42.10%,56.60%,49.00%,41.00%,All
Markus Zoecke,188.7,35.10%,62.10%,52.50%,39.00%,All
Andreas Haider-Maurer,188.6,37.00%,60.40%,42.60%,48.60%,All
Eduardo Schwank,188.6,36.90%,57.50%,54.20%,40.00%,All
Flavio Saretta,188.6,43.00%,58.90%,38.90%,47.80%,All
Xavier Daufresne,188.5,39.50%,59.00%,30.00%,60.00%,All
Igor Kunitsyn,188.5,39.30%,55.80%,48.30%,45.10%,All
Maurice Ruah,188.4,36.10%,57.80%,53.30%,41.20%,All
Lionel Roux,188.4,41.90%,58.40%,47.10%,41.00%,All
Paul Goldstein,188.3,42.70%,59.00%,45.90%,40.70%,All
Thomas Hogstedt,188.3,41.80%,52.70%,43.80%,50.00%,All
Denis Kudla,188.2,40.30%,58.40%,41.70%,47.80%,All
Ryan Harrison,188,38.20%,62.50%,39.60%,47.70%,All
Nuno Marques,187.9,38.80%,56.70%,52.40%,40.00%,All
Goran Prpic,187.8,43.60%,54.70%,43.20%,46.30%,All
David Sanchez,187.7,42.30%,56.60%,43.60%,45.20%,All
Rogerio Dutra Silva,187.7,35.80%,55.50%,57.10%,39.30%,All
Dusan Lajovic,187.6,39.60%,60.30%,41.00%,46.70%,All
Victor Hanescu,187.5,37.80%,62.00%,47.10%,40.60%,All
Mikael Pernfors,187.5,41.90%,57.70%,46.70%,41.20%,All
Somdev Devvarman,187.3,40.00%,58.60%,43.90%,44.80%,All
Davide Sanguinetti,187.3,39.10%,58.10%,44.00%,46.10%,All
Marcos Aurelio Gorriz,187.2,39.80%,58.90%,55.20%,33.30%,All
Cameron Norrie,187.2,39.60%,62.30%,39.60%,45.70%,All
Franco Squillari,187.2,40.60%,58.50%,38.10%,50.00%,All
Emilio Benfele Alvarez,187.1,40.10%,61.30%,45.70%,40.00%,All
Grant Connell,187.1,32.10%,65.50%,39.50%,50.00%,All
Reilly Opelka,187.1,29.30%,68.70%,46.90%,42.20%,All
Stephane Simian,187.1,34.00%,60.00%,44.30%,48.80%,All
Robby Ginepri,186.9,39.80%,58.30%,44.40%,44.40%,All
Lars Jonsson,186.9,41.90%,56.60%,51.90%,36.50%,All
Laurence Tieleman,186.8,34.70%,60.50%,48.70%,42.90%,All
Oscar Hernandez,186.7,37.30%,57.30%,54.80%,37.30%,All
Robin Haase,186.7,39.50%,60.40%,39.50%,47.30%,All
Lukas Lacko,186.4,36.50%,57.70%,50.00%,42.20%,All
Vasek Pospisil,186.4,36.50%,63.20%,43.70%,43.00%,All
Dudi Sela,186.4,40.40%,56.50%,50.50%,39.00%,All
Daniel Brands,186.3,31.90%,62.20%,50.00%,42.20%,All
Jared Palmer,186.3,40.60%,62.50%,46.20%,37.00%,All
John Millman,186.3,41.70%,59.00%,42.70%,42.90%,All
Alex Radulescu,186.3,37.30%,60.00%,43.50%,45.50%,All
Dennis Van Scheppingen,186.3,35.80%,56.80%,39.20%,54.50%,All
Carsten Arriens,186.2,43.60%,56.90%,38.10%,47.60%,All
Alex Bogomolov Jr.,186.2,41.10%,58.00%,38.10%,49.00%,All
Carlos Berlocq,186.1,40.90%,56.70%,46.70%,41.80%,All
Sam Groth,186.1,32.00%,64.00%,48.70%,41.40%,All
Filip Dewulf,186,43.00%,59.90%,41.70%,41.40%,All
Lars-Anders Wahlgren,186,41.70%,54.30%,30.00%,60.00%,All
Marius Copil,185.9,33.70%,62.40%,52.80%,37.00%,All
Nicolas Devilder,185.9,37.40%,60.20%,40.90%,47.40%,All
Alex Lopez Moron,185.9,39.90%,57.20%,45.00%,43.80%,All
Jose Francisco Altur,185.8,38.40%,55.30%,42.10%,50.00%,All
Ricardas Berankis,185.8,37.00%,59.60%,46.50%,42.70%,All
Luis Horna,185.8,38.50%,60.30%,48.20%,38.80%,All
Jan Apell,185.5,39.90%,58.00%,42.90%,44.70%,All
Karsten Braasch,185.5,36.00%,62.00%,49.30%,38.20%,All
Bradley Klahn,185.5,35.10%,58.90%,51.50%,40.00%,All
Albert Portas,185.5,40.90%,56.40%,45.80%,42.40%,All
David Engel,185.4,44.80%,58.20%,35.70%,46.70%,All
Lars Burgsmuller,185.1,40.10%,57.00%,38.00%,50.00%,All
Teymuraz Gabashvili,185.1,37.50%,59.90%,49.10%,38.60%,All
Jan-Lennard Struff,185.1,37.40%,60.90%,41.60%,45.20%,All
Salvatore Caruso,184.9,38.70%,59.10%,33.30%,53.80%,All
Maximo Gonzalez,184.9,38.40%,60.30%,40.00%,46.20%,All
Patrik Kuhnen,184.9,40.20%,59.40%,46.20%,39.10%,All
Matthias Bachinger,184.8,34.00%,61.30%,39.50%,50.00%,All
Gerald Melzer,184.8,38.20%,58.60%,40.90%,47.10%,All
Markus Hipfl,184.7,41.70%,54.20%,56.30%,32.50%,All
Lukasz Kubot,184.7,40.30%,57.80%,50.00%,36.60%,All
Razvan Sabau,184.5,39.30%,54.00%,50.00%,41.20%,All
Raemon Sluiter,184.5,37.80%,60.60%,44.70%,41.40%,All
Martin Sinner,184.5,38.50%,54.60%,40.00%,51.40%,All
Nicklas Kulti,184.4,38.20%,59.30%,50.50%,36.40%,All
Hyung-Taik Lee,184.4,36.70%,58.00%,47.70%,42.00%,All
Oscar Martinez,184.4,38.80%,52.70%,42.90%,50.00%,All
Orlin Stanoytchev,184.4,39.40%,55.90%,50.00%,39.10%,All
Michal Tabara,184.4,41.70%,53.40%,41.20%,48.10%,All
Kyle Edmund,184.3,38.20%,62.80%,44.90%,38.40%,All
Michael Tebbutt,184.2,37.90%,60.70%,41.30%,44.30%,All
Irakli Labadze,183.9,41.40%,59.00%,42.50%,41.00%,All
Paolo Lorenzi,183.9,37.50%,57.50%,41.80%,47.10%,All
Bobby Reynolds,183.9,32.30%,59.20%,52.40%,40.00%,All
Marco Cecchinato,183.8,35.00%,55.60%,51.50%,41.70%,All
Franco Davin,183.7,45.50%,53.70%,50.00%,34.50%,All
Santiago Giraldo,183.7,39.00%,59.50%,44.20%,41.00%,All
Marc Lopez,183.6,46.00%,54.90%,38.90%,43.80%,All
Marc-Kevin Goellner,183.5,38.50%,60.90%,40.60%,43.50%,All
Yen-Hsun Lu,183.5,37.60%,59.20%,52.30%,34.40%,All
Thierry Champion,183.4,42.20%,53.00%,48.90%,39.30%,All
Frances Tiafoe,183.3,38.20%,60.50%,47.10%,37.50%,All
Alessio Di Mauro,182.9,43.30%,54.50%,31.30%,53.80%,All
Alejandro Falla,182.9,40.60%,57.30%,45.30%,39.70%,All
Alexander Mronz,182.9,36.10%,60.10%,41.70%,45.00%,All
Peter Wessels,182.9,38.10%,61.10%,45.80%,37.90%,All
Brian MacPhie,182.8,35.10%,61.00%,47.80%,38.90%,All
Chris Guccione,182.7,28.20%,67.80%,50.00%,36.70%,All
Jan Hajek,182.6,36.00%,56.00%,55.60%,35.00%,All
Andrey Kuznetsov,182.6,36.60%,58.70%,47.30%,40.00%,All
Benjamin Becker,182.5,37.50%,59.00%,40.50%,45.50%,All
Inigo Cervantes,182.5,40.80%,53.60%,31.80%,56.30%,All
Marco Chiudinelli,182.5,37.70%,59.70%,43.20%,41.90%,All
Ramesh Krishnan,182.4,38.90%,53.20%,63.60%,26.70%,All
Andrei Olhovskiy,182.4,36.40%,60.00%,42.60%,43.40%,All
Luke Jensen,182.2,34.60%,59.10%,38.50%,50.00%,All
Gary Muller,182,35.10%,59.70%,39.60%,47.60%,All
Chris Pridham,182,34.00%,61.50%,38.70%,47.80%,All
James Duckworth,181.9,34.90%,63.00%,47.30%,36.70%,All
Rodolphe Gilbert,181.9,37.40%,59.50%,43.10%,41.90%,All
Jim Grabb,181.8,36.40%,61.40%,41.90%,42.10%,All
Leander Paes,181.8,36.40%,57.70%,39.60%,48.10%,All
Paolo Cane,181.7,36.00%,58.40%,44.40%,42.90%,All
Alex Calatrava,181.7,40.50%,60.00%,39.70%,41.50%,All
Kevin Curren,181.6,38.20%,59.70%,37.50%,46.20%,All
Axel Pretzsch,181.5,40.50%,57.00%,38.50%,45.50%,All
Francisco Roig,181.5,40.40%,52.10%,44.80%,44.20%,All
Bjorn Phau,181.4,41.00%,55.90%,43.10%,41.40%,All
Yuichi Sugita,181.4,38.00%,59.60%,40.30%,43.50%,All
Yuri Schukin,181.4,43.40%,57.70%,16.70%,63.60%,All
Dustin Brown,181.3,36.80%,63.80%,44.60%,36.10%,All
Arvind Parmar,181.1,32.70%,56.50%,48.10%,43.80%,All
Chris Wilkinson,181.1,38.00%,57.80%,47.80%,37.50%,All
Michael Joyce,181,42.10%,56.90%,55.80%,26.20%,All
Facundo Bagnis,180.8,35.00%,59.40%,36.40%,50.00%,All
Cecil Mamiit,180.6,37.60%,56.50%,54.50%,32.00%,All
Blaz Kavcic,180.5,41.90%,55.00%,51.20%,32.40%,All
Anders Jarryd,180.1,42.10%,56.00%,38.00%,44.00%,All
Neil Borwick,180,33.80%,59.10%,46.20%,40.90%,All
Roberto Azar,180,40.10%,54.90%,30.80%,54.20%,All
Sebastien De Chaunac,179.9,37.70%,57.20%,45.00%,40.00%,All
Peter Lundgren,179.8,37.40%,57.20%,38.10%,47.10%,All
Pablo Andujar,179.6,39.70%,56.90%,41.90%,41.10%,All
Joao Souza,179.6,35.80%,53.60%,53.80%,36.40%,All
Diego Hartfield,179.5,34.00%,56.60%,38.90%,50.00%,All
Tom Nijssen,179.5,40.10%,64.00%,42.10%,33.30%,All
Cyril Saulnier,179.5,36.80%,60.40%,46.40%,35.90%,All
Horacio de la Pena,179.4,45.10%,54.20%,45.80%,34.30%,All
Gilles Elseneer,179.3,37.50%,60.80%,34.80%,46.20%,All
Illya Marchenko,179.3,39.60%,58.90%,48.30%,32.50%,All
Cristiano Caratti,179.2,39.30%,55.40%,42.20%,42.30%,All
Go Soeda,179.2,35.40%,53.60%,45.00%,45.20%,All
Gastao Elias,179.1,40.90%,57.30%,40.90%,40.00%,All
Simon Greul,179.1,38.40%,57.80%,40.00%,42.90%,All
Markus Naewie,179.1,43.40%,57.70%,36.80%,41.20%,All
Stephane Robert,179.1,39.90%,55.80%,47.70%,35.70%,All
Jordan Thompson,178.8,38.00%,60.70%,33.30%,46.80%,All
Jared Donaldson,178.7,39.60%,57.30%,42.30%,39.50%,All
Luis Herrera,178.7,38.00%,57.90%,48.70%,34.10%,All
Alejandro Hernandez,178.6,43.70%,56.20%,55.60%,23.10%,All
Tennys Sandgren,178.6,37.10%,62.20%,41.80%,37.50%,All
Johan Van Herck,178.6,40.80%,55.60%,48.90%,33.30%,All
Michael Berrer,178.5,37.10%,60.90%,41.50%,39.00%,All
Jordi Burillo,178.3,42.60%,55.70%,40.00%,40.00%,All
Robbie Weiss,178.3,39.00%,55.60%,48.00%,35.70%,All
Christophe Rochus,178.1,39.30%,54.00%,44.30%,40.50%,All
David Pate,178,41.30%,58.10%,35.70%,42.90%,All
Michiel Schapers,178,34.30%,59.90%,36.00%,47.80%,All
Ernesto Escobedo,177.9,29.60%,62.60%,50.00%,35.70%,All
Peter Luczak,177.9,36.10%,60.90%,45.60%,35.30%,All
Edouard Roger-Vasselin,177.9,36.90%,59.20%,43.00%,38.80%,All
Joao Cunha-Silva,177.8,38.30%,58.70%,36.80%,44.00%,All
Thiago Alves,177.7,38.10%,52.90%,20.00%,66.70%,All
Michael Kohlmann,177.6,37.60%,55.20%,37.00%,47.80%,All
Vincenzo Santopadre,177.6,45.00%,54.20%,47.60%,30.80%,All
Jozef Kovalik,177.5,38.50%,57.90%,24.00%,57.10%,All
Diego Perez,176.9,38.10%,52.30%,57.10%,29.40%,All
Andre Sa,176.9,40.10%,54.70%,48.10%,34.00%,All
Hugo Dellien,176.7,36.10%,58.50%,57.10%,25.00%,All
George Bastl,176.4,35.10%,58.10%,41.50%,41.70%,All
Daniel Orsanic,176.4,47.00%,58.60%,33.30%,37.50%,All
Justin Gimelstob,176.2,37.50%,58.70%,43.00%,37.00%,All
Jamie Delgado,175.7,35.10%,56.20%,40.00%,44.40%,All
Fernando Roese,175.7,40.10%,55.60%,40.00%,40.00%,All
Nicolas Coutelot,175.4,40.90%,64.00%,25.00%,45.50%,All
Amer Delic,175.3,34.00%,64.80%,43.20%,33.30%,All
Stefano Galvani,174.9,39.50%,53.50%,34.80%,47.10%,All
Daniel Gimeno-Traver,174.7,36.70%,57.80%,37.30%,42.90%,All
Tim Smyczek,174.7,38.00%,59.20%,34.60%,42.90%,All
Filippo Volandri,174.7,44.20%,55.40%,35.80%,39.30%,All
Jimmy Wang,174.7,40.20%,60.00%,42.90%,31.60%,All
Danai Udomchoke,174.6,36.90%,56.40%,48.00%,33.30%,All
Ruben Ramirez Hidalgo,174.4,43.20%,56.90%,43.80%,30.50%,All
Daniel Nestor,174.3,36.90%,61.50%,37.90%,38.00%,All
David Rikl,174.1,40.80%,58.60%,42.90%,31.80%,All
Diego Nargiso,173.9,40.00%,59.80%,44.40%,29.70%,All
Ilya Ivashka,173.8,33.60%,59.10%,47.80%,33.30%,All
Gregoire Barrere,173.7,35.50%,54.90%,50.00%,33.30%,All
Paul Capdeville,173.7,41.40%,54.20%,45.70%,32.40%,All
Arnaud Di Pasquale,173.7,43.30%,54.60%,38.50%,37.30%,All
Oleg Ogorodov,173.1,38.60%,60.10%,35.30%,39.10%,All
Tommy Ho,172.9,40.70%,60.00%,47.20%,25.00%,All
Olivier Mutis,172.9,45.50%,56.30%,26.10%,45.00%,All
Harel Levy,172.6,39.60%,59.00%,31.10%,42.90%,All
Nicolas Thomann,172.6,30.00%,62.00%,55.60%,25.00%,All
Alexander Waske,172.5,35.40%,61.60%,43.10%,32.40%,All
Tomas Zib,172.4,40.10%,57.00%,42.00%,33.30%,All
Stefano Travaglia,172.3,40.90%,58.50%,36.10%,36.80%,All
Lukas Dlouhy,172.2,40.60%,57.10%,47.60%,26.90%,All
Claudio Pistolesi,172.2,41.80%,57.10%,38.50%,34.80%,All
Steve Bryan,171.8,38.10%,54.60%,33.30%,45.80%,All
Mark Knowles,171.7,43.60%,56.10%,40.00%,32.00%,All
Robert Kendrick,171.7,32.70%,61.30%,44.40%,33.30%,All
Martin Rodriguez,171.7,30.10%,59.30%,45.50%,36.80%,All
Ruben Bemelmans,171.6,36.80%,62.00%,39.50%,33.30%,All
Michael Russell,171.5,40.20%,53.50%,42.40%,35.40%,All
Mikael Ymer,171.5,42.30%,54.20%,33.30%,41.70%,All
Michal Przysiezny,171.4,37.60%,60.50%,40.00%,33.30%,All
Bob Bryan,171.3,40.40%,57.20%,20.80%,52.90%,All
Ivo Heuberger,171.2,42.00%,58.60%,43.30%,27.30%,All
Thomas Fabbiano,170.8,36.60%,56.00%,41.50%,36.70%,All
Elias Ymer,170.7,32.80%,57.90%,40.00%,40.00%,All
Kenny De Schepper,170.6,28.80%,66.20%,40.80%,34.80%,All
Frederic Fontang,170.4,41.00%,52.20%,35.50%,41.70%,All
Diego Junqueira,170.3,39.80%,52.80%,44.40%,33.30%,All
Joern Renzenbrink,169.9,35.40%,60.00%,48.60%,25.90%,All
Ronald Agenor,169.7,40.40%,57.00%,35.60%,36.70%,All
Dinu Pescariu,169.7,41.20%,55.00%,43.50%,30.00%,All
Glenn Weiner,169.7,34.20%,53.60%,28.60%,53.30%,All
Jeff Salzenstein,169.5,33.00%,63.00%,36.70%,36.80%,All
Gilad Bloom,169.3,42.80%,58.60%,33.30%,34.60%,All
Juan Balcells,169.2,38.40%,64.80%,29.30%,36.70%,All
Ivo Minar,169.2,42.10%,55.80%,39.00%,32.30%,All
Danilo Marcelino,168.9,35.60%,58.00%,35.30%,40.00%,All
Werner Eschauer,168.8,38.80%,56.60%,38.10%,35.30%,All
Kristian Pless,168.7,39.20%,60.10%,37.00%,32.40%,All
Gouichi Motomura,168.6,38.40%,52.50%,44.40%,33.30%,All
Brian Vahaly,168.6,37.90%,56.60%,35.00%,39.10%,All
Ivan Navarro,168.6,36.80%,61.80%,40.40%,29.60%,All
Udo Riglewski,168.4,37.20%,54.80%,38.90%,37.50%,All
Olivier Patience,168.3,36.70%,57.60%,33.30%,40.70%,All
Jaime Oncins,167.7,41.00%,55.70%,41.00%,30.00%,All
Nicolas Pereira,167.2,34.00%,60.70%,36.40%,36.10%,All
Tobias Kamke,166.9,39.70%,56.60%,42.00%,28.60%,All
Evgeny Donskoy,166.5,34.70%,61.60%,44.10%,26.10%,All
Nicolas Kicker,165.8,45.00%,57.80%,27.30%,35.70%,All
Jean-Philippe Fleurian,165.7,41.70%,59.50%,28.60%,35.90%,All
Eduardo Masso,165.5,45.20%,52.30%,26.30%,41.70%,All
Rik De Voest,165.4,37.80%,60.40%,36.40%,30.80%,All
Simon Youl,165.3,38.10%,59.60%,34.30%,33.30%,All
Norbert Gombos,165.2,33.00%,60.10%,42.10%,30.00%,All
Jurgen Zopp,164.5,32.90%,59.50%,25.00%,47.10%,All
Alejandro Gonzalez,164.1,37.50%,54.80%,38.50%,33.30%,All
Marcelo Charpentier,163.9,39.90%,55.50%,30.00%,38.50%,All
Julian Reister,163.4,33.10%,60.30%,50.00%,20.00%,All
Gaston Etlis,163.2,38.10%,60.40%,40.60%,24.10%,All
Maximilian Marterer,163,35.20%,60.10%,29.60%,38.10%,All
Igor Sijsling,162.9,39.00%,57.90%,39.30%,26.70%,All
Andrej Martin,162.5,39.50%,63.30%,37.50%,22.20%,All
Marcos Daniel,162.4,38.40%,56.20%,47.80%,20.00%,All
Martin Strelba,162.4,37.40%,50.50%,54.50%,20.00%,All
Kevin Kim,162.1,37.50%,54.00%,28.90%,41.70%,All
Antonio Veic,162.1,47.90%,50.40%,10.00%,53.80%,All
Dennis Novak,161.7,42.20%,55.70%,36.00%,27.80%,All
Kenny Thorne,161.7,36.40%,58.30%,43.50%,23.50%,All
Veli Paloheimo,161.4,39.80%,53.00%,33.30%,35.30%,All
Christian Miniussi,161.3,39.50%,54.80%,23.50%,43.50%,All
Lorenzo Manta,161.3,31.20%,60.00%,31.60%,38.50%,All
Victor Crivoi,161.1,31.30%,55.90%,36.40%,37.50%,All
Mark Petchey,161.1,39.60%,58.90%,34.60%,28.00%,All
Tomas Nydahl,161,38.10%,55.90%,30.00%,37.00%,All
Christian Vinck,160.8,39.50%,59.40%,33.30%,28.60%,All
Daniel Munoz de la Nava,160.6,33.70%,60.30%,33.30%,33.30%,All
Marsel Ilhan,160.4,36.80%,57.20%,34.80%,31.60%,All
Eyal Ran,160.3,40.70%,56.70%,42.90%,20.00%,All
Jacobo Diaz,159.9,40.80%,56.00%,40.90%,22.20%,All
Peter Polansky,159.7,36.20%,58.50%,40.00%,25.00%,All
Adrian Garcia,159.5,41.00%,57.50%,46.70%,14.30%,All
Jesse Levine,159.4,40.90%,62.50%,28.20%,27.80%,All
Prakash Amritraj,158.7,33.90%,57.50%,27.30%,40.00%,All
Andrey Golubev,158.6,40.20%,58.80%,36.70%,22.90%,All
Vincent Millot,158.3,41.90%,59.70%,30.00%,26.70%,All
Alex Bogdanovic,157.4,32.20%,62.60%,31.80%,30.80%,All
Adrian Ungur,156.9,35.50%,54.80%,33.30%,33.30%,All
Dick Norman,156.7,33.10%,63.50%,36.00%,24.10%,All
Jeff Morrison,156.4,36.20%,59.30%,35.90%,25.00%,All
Francisco Montana,156.3,40.20%,48.20%,42.90%,25.00%,All
Sergio Roitman,156.1,38.20%,55.90%,37.00%,25.00%,All
Mark Koevermans,155.4,40.00%,54.00%,29.40%,32.00%,All
Alex Kim,155.3,37.70%,54.50%,40.00%,23.10%,All
Thierry Guardiola,155.1,34.50%,56.90%,30.40%,33.30%,All
Marcello Craca,154.6,42.90%,51.10%,33.30%,27.30%,All
Noam Okun,154,38.30%,61.80%,38.90%,15.00%,All
Danny Sapsford,153,38.40%,55.90%,44.40%,14.30%,All
Roberto Carretero,152.9,44.50%,54.60%,22.20%,31.60%,All
Hugo Armando,152.5,33.10%,59.40%,40.00%,20.00%,All
Tuomas Ketola,152,38.40%,55.00%,28.60%,30.00%,All
Stephane Huet,151.6,40.50%,60.30%,28.60%,22.20%,All
James Ward,151.4,32.60%,59.60%,40.70%,18.50%,All
Alexander Peya,151.3,34.60%,58.60%,26.30%,31.80%,All
Scott Davis,149.5,35.20%,52.60%,47.40%,14.30%,All
Jesse Huta Galung,148.9,33.10%,55.20%,27.30%,33.30%,All
Konstantin Kravchuk,147,34.60%,60.70%,41.70%,10.00%,All
Brian Dabul,145.4,34.40%,60.40%,7.70%,42.90%,All
Hendrik Jan Davids,144,35.10%,61.20%,40.00%,7.70%,All
Sandor Noszaly,143.7,37.40%,55.20%,28.00%,23.10%,All
Thierry Ascione,141.8,38.50%,56.80%,39.40%,7.10%,All
Alex Kuznetsov,140.5,34.00%,53.40%,16.70%,36.40%,All
Kris Goossens,139.8,43.70%,52.90%,25.00%,18.20%,All
Roko Karanusic,139.5,32.80%,56.50%,34.80%,15.40%,All
Rui Machado,139.2,40.50%,52.80%,31.60%,14.30%,All
Patrik Fredriksson,138.4,37.20%,51.20%,50.00%,0.00%,All
Julian Knowle,136.9,35.90%,57.00%,16.70%,27.30%,All
Andrew Sznajder,136.6,31.60%,56.40%,37.50%,11.10%,All
Fredrik Jonsson,134,30.60%,64.30%,10.50%,28.60%,All
Yuki Bhambri,125.1,42.00%,50.90%,10.00%,22.20%,All
,,,,,,
Player,Under Pressure Rating,% Break Points Converted,% Break Points Saved,% Tie Breaks Won,% Deciding Sets Won,Surface
Rafael Nadal,262.4,48.80%,66.80%,67.40%,79.40%,Clay
Cristian Garin,251.7,41.40%,62.10%,68.20%,80.00%,Clay
Wayne Odesnik,245.7,43.20%,62.50%,80.00%,60.00%,Clay
Novak Djokovic,243.7,45.20%,62.60%,65.20%,70.70%,Clay
Thomas Muster,242.5,46.50%,63.10%,55.80%,77.10%,Clay
Michael Stich,241.9,42.30%,64.40%,63.30%,71.90%,Clay
Felix Auger-Aliassime,238.3,37.20%,61.10%,100.00%,40.00%,Clay
David Wheaton,237.3,42.90%,64.30%,72.20%,57.90%,Clay
Renzo Olivo,236.6,37.70%,59.50%,76.20%,63.20%,Clay
Karel Novacek,234.7,40.80%,62.10%,68.90%,62.90%,Clay
Dominic Thiem,234.6,41.20%,62.90%,56.00%,74.50%,Clay
Stefan Edberg,234.2,45.40%,62.80%,57.60%,68.40%,Clay
David Ferrer,233,45.50%,59.40%,59.80%,68.30%,Clay
Roger Federer,232.2,40.40%,65.30%,60.40%,66.10%,Clay
Andy Murray,231.4,44.30%,61.30%,70.50%,55.30%,Clay
Guillermo Perez-Roldan,230.9,46.50%,58.10%,67.50%,58.80%,Clay
Matteo Berrettini,230.5,36.40%,67.80%,56.30%,70.00%,Clay
Jo-Wilfried Tsonga,229.9,42.20%,62.70%,63.20%,61.80%,Clay
Miomir Kecmanovic,229.5,40.00%,56.10%,66.70%,66.70%,Clay
Laslo Djere,229.4,36.50%,62.10%,62.90%,67.90%,Clay
Fernando Gonzalez,229,42.70%,62.30%,64.50%,59.50%,Clay
Richey Reneberg,228.7,44.10%,57.00%,66.70%,60.90%,Clay
Andy Roddick,228.1,38.30%,62.00%,80.00%,47.80%,Clay
Casper Ruud,227.7,41.10%,62.60%,55.60%,68.40%,Clay
Mario Ancic,227.2,44.90%,60.90%,52.20%,69.20%,Clay
Marcelo Rios,227.1,41.40%,59.70%,60.70%,65.30%,Clay
Guillermo Coria,226.8,47.90%,57.70%,52.90%,68.30%,Clay
Nikoloz Basilashvili,226.3,36.50%,57.60%,80.00%,52.20%,Clay
Carlos Moya,226,42.30%,62.00%,57.50%,64.20%,Clay
Jacco Eltingh,225.7,39.00%,61.00%,62.50%,63.20%,Clay
Alexander Zverev,224.6,43.40%,56.30%,52.80%,72.10%,Clay
Martin Klizan,224.4,45.00%,60.20%,57.50%,61.70%,Clay
Marcos Ondruska,224.2,45.30%,59.60%,64.30%,55.00%,Clay
David Goffin,223.5,43.00%,59.10%,51.40%,70.00%,Clay
Felix Mantilla,223.4,45.30%,59.40%,58.00%,60.70%,Clay
Ricardo Mello,223.4,43.70%,57.00%,72.70%,50.00%,Clay
Juan Carlos Ferrero,223,42.00%,62.00%,52.00%,67.00%,Clay
Henri Laaksonen,222.7,41.60%,59.90%,54.50%,66.70%,Clay
Victor Estrella Burgos,221.9,43.00%,60.80%,59.30%,58.80%,Clay
Yevgeny Kafelnikov,221.9,43.90%,59.00%,55.80%,63.20%,Clay
Andrei Medvedev,221.9,44.40%,60.10%,60.30%,57.10%,Clay
Tommy Robredo,221.9,43.00%,59.80%,52.40%,66.70%,Clay
German Puentes,221.9,41.00%,54.20%,60.00%,66.70%,Clay
Pete Sampras,221.7,39.10%,64.70%,57.40%,60.50%,Clay
Goran Ivanisevic,221.6,40.70%,62.40%,52.80%,65.70%,Clay
Santiago Ventura,221.5,45.40%,57.40%,66.70%,52.00%,Clay
Nick Kyrgios,221.2,37.20%,63.00%,71.00%,50.00%,Clay
Gilles Muller,221,36.90%,61.60%,62.50%,60.00%,Clay
Albert Costa,220.8,42.60%,60.60%,56.30%,61.30%,Clay
Jakob Hlasek,220.5,40.10%,60.70%,56.50%,63.20%,Clay
Tommy Haas,219.1,40.50%,61.20%,56.00%,61.40%,Clay
Kei Nishikori,218.7,42.00%,64.10%,38.90%,73.70%,Clay
Diego Schwartzman,218.7,45.80%,55.80%,58.80%,58.30%,Clay
Nicolas Kiefer,218.6,42.20%,59.90%,63.60%,52.90%,Clay
Stan Wawrinka,218.4,40.70%,64.10%,49.50%,64.10%,Clay
Thiemo de Bakker,217.9,41.90%,62.40%,63.60%,50.00%,Clay
Richard Gasquet,217.8,44.90%,59.00%,54.80%,59.10%,Clay
Gaston Gaudio,217.8,44.10%,59.40%,53.60%,60.70%,Clay
Cedrik-Marcel Stebe,217.7,45.10%,53.40%,55.60%,63.60%,Clay
