Player,Under Pressure Rating,% Break Points Converted,% Break Points Saved,% Tie Breaks Won,% Deciding Sets Won,Surface
Darren Cahill,212,40.80%,60.30%,53.80%,57.10%,All
Marat Safin,212,39.20%,62.70%,52.90%,57.20%,All
Laslo Djere,211.9,35.70%,59.70%,46.80%,69.70%,All
Grigor Dimitrov,211.7,38.60%,63.10%,52.50%,57.50%,All
Lars Rehmann,211.6,36.00%,62.10%,38.50%,75.00%,All
David Nainkin,211.5,43.80%,54.30%,56.30%,57.10%,All
Mirza Basic,211.4,39.80%,62.10%,52.40%,57.10%,All
Andrei Medvedev,211.3,42.30%,60.00%,55.20%,53.80%,All
Feliciano Lopez,211.2,35.40%,65.70%,54.20%,55.90%,All
Alexander Volkov,210.8,43.00%,60.70%,48.60%,58.50%,All
Borna Coric,210.6,38.70%,61.50%,52.60%,57.80%,All
Joachim Johansson,210.6,34.70%,69.50%,51.20%,55.20%,All
Todd Woodbridge,210.6,41.70%,58.20%,51.70%,59.00%,All
Robin Soderling,210.5,42.80%,63.50%,48.10%,56.10%,All
Richey Reneberg,210.5,41.00%,58.90%,57.50%,53.10%,All
Gilles Muller,210.4,34.40%,66.80%,55.20%,54.00%,All
Mariano Puerta,210.3,41.60%,60.00%,60.80%,47.90%,All
Martin Jaite,210.2,40.70%,56.10%,45.50%,67.90%,All
Chris Garner,210,35.90%,54.90%,55.60%,63.60%,All
Amos Mansdorf,210,41.30%,61.50%,49.40%,57.80%,All
Mario Ancic,209.9,39.80%,62.00%,48.70%,59.40%,All
Attila Savolt,209.8,34.70%,57.70%,58.30%,59.10%,All
Mardy Fish,209.5,40.40%,62.50%,46.80%,59.80%,All
Dmitry Tursunov,209.5,39.70%,62.70%,53.60%,53.50%,All
Alberto Berasategui,209.2,44.40%,58.10%,51.40%,55.30%,All
Matteo Berrettini,209.1,35.30%,66.70%,55.60%,51.50%,All
Tim Henman,209.1,40.80%,62.70%,53.50%,52.10%,All
Flavio Cipolla,209,40.70%,55.20%,60.90%,52.20%,All
Jacco Eltingh,209,35.90%,62.20%,60.90%,50.00%,All
Guy Forget,209,38.40%,63.90%,49.70%,57.00%,All
Daniel Koellerer,208.9,37.70%,54.50%,66.70%,50.00%,All
Radek Stepanek,208.6,40.40%,61.80%,51.40%,55.00%,All
Viktor Troicki,208.4,40.60%,59.70%,50.50%,57.60%,All
Javier Frana,208.3,40.50%,63.60%,51.50%,52.70%,All
Jiri Novak,208.2,43.00%,59.80%,44.60%,60.80%,All
David Wheaton,208.1,39.60%,62.90%,52.90%,52.70%,All
Albert Costa,207.9,41.00%,60.30%,50.90%,55.70%,All
Luiz Mattar,207.9,39.50%,61.00%,53.40%,54.00%,All
Jack Sock,207.8,38.70%,62.80%,55.30%,51.00%,All
Paradorn Srichaphan,207.8,39.60%,59.40%,55.70%,53.10%,All
Andrei Chesnokov,207.7,44.30%,56.90%,57.00%,49.50%,All
Omar Camporese,207.6,42.60%,60.70%,54.30%,50.00%,All
Stefan Koubek,207.6,41.10%,57.60%,57.00%,51.90%,All
Todd Reid,207.6,41.90%,60.10%,50.00%,55.60%,All
Paul Haarhuis,207.3,42.00%,60.60%,47.70%,57.00%,All
Andreas Vinciguerra,207,42.40%,64.20%,43.60%,56.80%,All
Jarkko Nieminen,207,41.60%,60.20%,53.60%,51.60%,All
Steve Darcis,206.7,39.90%,59.10%,56.00%,51.70%,All
Martin Klizan,206.5,41.70%,61.10%,51.30%,52.40%,All
Wayne Odesnik,206.5,38.70%,59.90%,54.10%,53.80%,All
Jordi Arrese,206.4,43.80%,55.60%,45.30%,61.70%,All
Denis Gremelmayr,206.4,38.20%,59.10%,53.10%,56.00%,All
Federico Luzzi,206.3,39.80%,56.50%,60.00%,50.00%,All
MaliVai Washington,206.3,42.40%,60.80%,50.30%,52.80%,All
Philipp Kohlschreiber,206.2,40.20%,62.90%,51.50%,51.60%,All
Fernon Wibier,206.2,36.20%,58.10%,61.90%,50.00%,All
Gaston Gaudio,206,41.90%,58.20%,52.70%,53.20%,All
Martin Verkerk,206,39.10%,63.20%,54.80%,48.90%,All
Nikoloz Basilashvili,205.9,37.60%,58.40%,58.00%,51.90%,All
Lars Koslowski,205.8,35.60%,53.50%,66.70%,50.00%,All
Jan Kroslak,205.8,37.70%,60.10%,51.90%,56.10%,All
Jan Siemerink,205.6,36.40%,64.70%,53.60%,50.90%,All
Nikolay Davydenko,205.5,43.70%,60.20%,51.60%,50.00%,All
Nicolas Lapentti,205.2,39.20%,59.40%,50.50%,56.10%,All
Arnaud Boetsch,205.1,40.70%,60.40%,49.30%,54.70%,All
Albert Montanes,204.9,39.40%,58.20%,50.50%,56.80%,All
Marc Rosset,204.9,37.60%,62.00%,52.40%,52.90%,All
Alex de Minaur,204.8,41.40%,61.20%,53.30%,48.90%,All
Thomas Enqvist,204.8,41.00%,59.60%,48.20%,56.00%,All
Karol Kucera,204.8,43.20%,56.10%,50.30%,55.20%,All
Jakob Hlasek,204.6,40.30%,60.40%,48.00%,55.90%,All
Thomas Johansson,204.6,40.90%,61.90%,50.00%,51.80%,All
Daniel Evans,204.5,41.50%,61.30%,54.40%,47.30%,All
Denis Shapovalov,204.5,37.70%,64.80%,45.50%,56.50%,All
Olivier Delaitre,204.4,39.70%,57.50%,48.30%,58.90%,All
Bernard Tomic,204.3,36.10%,63.70%,51.90%,52.60%,All
Juan Ignacio Chela,204.2,42.90%,58.40%,48.50%,54.40%,All
Younes El Aynaoui,204.2,37.40%,63.00%,54.50%,49.30%,All
