Player,Return Rating,% 1st Serve Return Points Won,% 2nd Serve Return Points Won,% Return Games Won,% Break Points Converted,Surface
Ivo Heuberger,138.1,29.10%,47.70%,19.30%,42.00%,All
Joao Cunha-Silva,138,29.30%,48.80%,21.60%,38.30%,All
Daniel Koellerer,138,29.20%,49.70%,21.40%,37.70%,All
Jan Kroslak,138,27.70%,50.80%,21.80%,37.70%,All
Paradorn Srichaphan,138,28.40%,48.90%,21.10%,39.60%,All
Jiri Vanek,138,27.80%,48.60%,20.90%,40.70%,All
Potito Starace,138,29.20%,48.00%,21.10%,39.70%,All
Chris Garner,137.9,28.00%,52.00%,22.00%,35.90%,All
Sebastien Lareau,137.9,27.10%,51.10%,21.00%,38.70%,All
Patrik Kuhnen,137.9,27.50%,49.60%,20.60%,40.20%,All
Marinko Matosevic,137.9,28.10%,49.60%,21.00%,39.20%,All
Danny Sapsford,137.9,26.30%,52.00%,21.20%,38.40%,All
Ricardo Mello,137.8,27.30%,50.30%,20.30%,39.90%,All
Jerome Golmard,137.7,26.60%,49.80%,21.30%,40.00%,All
Florent Serra,137.7,27.90%,49.30%,21.00%,39.50%,All
Nikoloz Basilashvili,137.6,28.70%,49.60%,21.70%,37.60%,All
Illya Marchenko,137.6,28.50%,48.70%,20.80%,39.60%,All
Jan-Michael Gambill,137.5,27.20%,49.50%,20.70%,40.10%,All
Jesse Levine,137.5,27.60%,48.60%,20.40%,40.90%,All
Bjorn Fratangelo,137.4,25.40%,50.40%,20.00%,41.60%,All
Guido Pella,137.4,27.70%,51.30%,21.00%,37.40%,All
Nicolas Devilder,137.3,28.80%,49.70%,21.40%,37.40%,All
Luiz Mattar,137.3,29.10%,47.90%,20.80%,39.50%,All
Paolo Cane,137.2,30.80%,48.30%,22.10%,36.00%,All
Steve Darcis,137.2,27.90%,49.10%,20.30%,39.90%,All
Peter Lundgren,137.2,28.50%,50.20%,21.10%,37.40%,All
Martin Vassallo Arguello,137,29.60%,47.40%,20.90%,39.10%,All
Attila Balazs,136.9,29.90%,47.30%,20.00%,39.70%,All
Jose Francisco Altur,136.9,29.90%,47.90%,20.70%,38.40%,All
Richard Fromberg,136.9,29.20%,47.90%,20.90%,38.90%,All
Ivo Minar,136.9,28.50%,46.70%,19.60%,42.10%,All
Stefano Travaglia,136.9,28.50%,47.00%,20.50%,40.90%,All
Harel Levy,136.8,28.10%,48.50%,20.60%,39.60%,All
Diego Hartfield,136.8,30.40%,50.30%,22.10%,34.00%,All
Axel Pretzsch,136.8,27.90%,47.90%,20.50%,40.50%,All
Gerald Melzer,136.7,26.50%,50.50%,21.50%,38.20%,All
David Pate,136.7,28.80%,47.20%,19.40%,41.30%,All
Donald Young,136.7,28.50%,48.90%,20.80%,38.50%,All
Santiago Giraldo,136.6,28.10%,48.50%,21.00%,39.00%,All
Felix Auger-Aliassime,136.5,29.30%,47.50%,20.20%,39.50%,All
Alex Calatrava,136.5,27.50%,47.80%,20.70%,40.50%,All
Dusan Lajovic,136.5,28.00%,48.40%,20.50%,39.60%,All
Kristof Vliegen,136.5,28.60%,47.90%,20.20%,39.80%,All
Rodolphe Gilbert,136.4,28.30%,49.30%,21.40%,37.40%,All
Robin Haase,136.4,28.40%,48.00%,20.50%,39.50%,All
Sandor Noszaly,136.4,28.80%,49.00%,21.20%,37.40%,All
Dmitry Tursunov,136.4,27.30%,49.30%,20.10%,39.70%,All
Jeremy Bates,136.3,27.10%,50.30%,20.50%,38.40%,All
Borna Coric,136.3,27.20%,49.80%,20.60%,38.70%,All
Kyle Edmund,136.3,27.00%,50.40%,20.70%,38.20%,All
Joao Sousa,136.1,29.20%,48.20%,21.10%,37.60%,All
Jo-Wilfried Tsonga,136.1,28.80%,47.20%,20.20%,39.90%,All
Inigo Cervantes,136,27.10%,47.80%,20.30%,40.80%,All
Stefanos Tsitsipas,136,28.30%,48.70%,20.00%,39.00%,All
Hyung-Taik Lee,135.9,29.20%,48.70%,21.30%,36.70%,All
Jens Knippschild,135.9,27.50%,49.20%,20.20%,39.00%,All
Guillaume Rufin,135.8,27.20%,49.40%,20.40%,38.80%,All
Thomas Fabbiano,135.7,27.30%,51.30%,20.50%,36.60%,All
Jared Donaldson,135.7,26.50%,49.10%,20.50%,39.60%,All
Leonardo Lavalle,135.7,29.60%,48.90%,21.30%,35.90%,All
Udo Riglewski,135.7,28.00%,51.30%,19.20%,37.20%,All
Andrey Kuznetsov,135.5,28.50%,49.50%,20.90%,36.60%,All
Mackenzie McDonald,135.5,26.60%,50.10%,18.80%,40.00%,All
Andy Roddick,135.5,27.30%,49.10%,20.30%,38.80%,All
Guy Forget,135.4,28.00%,48.60%,20.40%,38.40%,All
Daniel Elsner,135.4,26.60%,49.00%,19.80%,40.00%,All
Ramon Delgado,135.3,27.30%,49.30%,20.10%,38.60%,All
Nuno Marques,135.3,29.60%,47.00%,19.90%,38.80%,All
Taro Daniel,135.1,26.60%,49.00%,20.80%,38.70%,All
Marc Gicquel,135,27.50%,48.20%,19.90%,39.40%,All
Simon Youl,134.8,28.00%,48.40%,20.30%,38.10%,All
Arne Thoms,134.7,25.20%,48.30%,18.70%,42.50%,All
Jordan Thompson,134.6,28.20%,48.40%,20.00%,38.00%,All
Younes El Aynaoui,134.5,29.10%,48.20%,19.80%,37.40%,All
Marc Rosset,134.5,27.90%,49.00%,20.00%,37.60%,All
Mischa Zverev,134.5,29.00%,47.50%,19.60%,38.40%,All
Kevin Curren,134.4,29.10%,46.60%,20.50%,38.20%,All
Andrew Ilie,134.4,28.00%,49.10%,20.80%,36.50%,All
Denis Kudla,134.4,26.80%,48.30%,19.00%,40.30%,All
Alex O'Brien,134.4,26.10%,49.80%,19.70%,38.80%,All
Markus Hantschk,134.3,27.00%,48.50%,20.90%,37.90%,All
Michael Tebbutt,134.3,27.90%,48.70%,19.80%,37.90%,All
Aljaz Bedene,134.2,27.50%,48.60%,19.60%,38.50%,All
Hubert Hurkacz,134.2,28.20%,48.00%,19.20%,38.80%,All
Soonwoo Kwon,134.2,28.10%,50.20%,20.10%,35.80%,All
Orlin Stanoytchev,134.2,25.80%,49.40%,19.60%,39.40%,All
Tomas Zib,134.2,25.50%,49.30%,19.30%,40.10%,All
Tim Smyczek,134.2,27.70%,48.60%,19.90%,38.00%,All
Maurice Ruah,134.1,28.50%,49.50%,20.00%,36.10%,All
Karol Beck,134,28.80%,48.20%,19.50%,37.50%,All
Gaston Etlis,134,27.10%,49.10%,19.70%,38.10%,All
Peter Gojowczyk,134,27.30%,48.70%,19.10%,38.90%,All
Oliver Marach,134,27.20%,48.40%,19.20%,39.20%,All
Guillaume Raoux,134,26.00%,49.70%,19.70%,38.60%,All
Oscar Hernandez,133.9,27.70%,48.90%,20.00%,37.30%,All
Patrick Baur,133.8,29.40%,48.50%,19.60%,36.30%,All
Matthew Ebden,133.7,27.50%,47.50%,19.40%,39.30%,All
Ilya Ivashka,133.6,28.10%,51.50%,20.40%,33.60%,All
Teymuraz Gabashvili,133.4,27.50%,48.80%,19.60%,37.50%,All
Yen-Hsun Lu,133.4,26.50%,50.00%,19.30%,37.60%,All
Martin Strelba,133.4,30.50%,45.60%,19.90%,37.40%,All
Goran Ivanisevic,133.3,25.70%,48.90%,19.20%,39.50%,All
Andrey Golubev,133.2,27.60%,46.40%,19.00%,40.20%,All
German Lopez,133.2,27.50%,46.70%,18.20%,40.80%,All
Luis Horna,133.2,27.60%,47.70%,19.40%,38.50%,All
Tom Nijssen,133.2,28.20%,46.40%,18.50%,40.10%,All
Laslo Djere,133.1,29.30%,48.50%,19.60%,35.70%,All
Paolo Lorenzi,133.1,28.00%,47.90%,19.70%,37.50%,All
Lucas Pouille,133.1,26.70%,48.40%,19.20%,38.80%,All
Kevin Kim,133,27.90%,48.00%,19.60%,37.50%,All
Victor Hanescu,133,28.30%,47.70%,19.20%,37.80%,All
Pere Riba,133,27.00%,47.90%,18.20%,39.90%,All
Justin Gimelstob,132.9,27.80%,48.30%,19.30%,37.50%,All
Michael Mmoh,132.9,26.80%,44.70%,17.80%,43.60%,All
Jack Sock,132.9,27.00%,48.00%,19.20%,38.70%,All
Simon Greul,132.8,27.10%,48.20%,19.10%,38.40%,All
Denis Shapovalov,132.8,28.10%,47.80%,19.20%,37.70%,All
Danai Udomchoke,132.8,27.00%,49.60%,19.30%,36.90%,All
Karsten Braasch,132.7,28.80%,48.10%,19.80%,36.00%,All
Jozef Kovalik,132.7,27.50%,47.70%,19.00%,38.50%,All
Boris Pashanski,132.7,27.00%,47.40%,19.00%,39.30%,All
Denis Gremelmayr,132.6,28.50%,46.40%,19.50%,38.20%,All
Jan Hajek,132.6,27.50%,49.90%,19.20%,36.00%,All
Martin Sinner,132.6,26.40%,48.70%,19.00%,38.50%,All
Shuzo Matsuoka,132.5,26.60%,48.20%,18.50%,39.20%,All
Adrian Garcia,132.4,26.40%,47.20%,17.80%,41.00%,All
Edouard Roger-Vasselin,132.4,27.80%,48.10%,19.60%,36.90%,All
Vladimir Voltchkov,132.4,26.70%,50.30%,19.40%,36.00%,All
Juan Balcells,132.3,28.10%,46.60%,19.20%,38.40%,All
Ricardas Berankis,132.3,26.60%,49.30%,19.40%,37.00%,All
Werner Eschauer,132.3,27.00%,47.40%,19.10%,38.80%,All
Andrei Olhovskiy,132.3,27.90%,48.80%,19.20%,36.40%,All
Jeremy Chardy,132.2,27.30%,48.50%,19.00%,37.40%,All
Jan-Lennard Struff,132.2,27.10%,48.80%,18.90%,37.40%,All
Yuichi Sugita,132.2,26.10%,49.20%,18.90%,38.00%,All
Daniel Gimeno-Traver,132.1,28.50%,47.60%,19.30%,36.70%,All
Alejandro Gonzalez,132.1,27.30%,48.60%,18.70%,37.50%,All
Philipp Petzschner,132.1,28.00%,47.20%,19.10%,37.80%,All
Frances Tiafoe,132.1,26.60%,48.70%,18.60%,38.20%,All
Gouichi Motomura,132,25.40%,48.60%,19.60%,38.40%,All
Ernests Gulbis,131.8,27.90%,47.60%,18.90%,37.40%,All
Attila Savolt,131.8,28.70%,49.00%,19.40%,34.70%,All
Scott Davis,131.7,28.00%,48.20%,20.30%,35.20%,All
Marc-Kevin Goellner,131.7,26.80%,47.60%,18.80%,38.50%,All
Olivier Patience,131.6,27.20%,47.70%,20.00%,36.70%,All
Gilles Elseneer,131.5,29.10%,46.20%,18.70%,37.50%,All
Patrik Fredriksson,131.5,25.80%,49.60%,18.90%,37.20%,All
Michael Kohlmann,131.5,26.00%,48.80%,19.10%,37.60%,All
Grega Zemlja,131.5,27.60%,47.10%,18.50%,38.30%,All
Kenny Thorne,131.4,28.70%,47.00%,19.30%,36.40%,All
Thiago Monteiro,131.3,26.00%,47.20%,18.30%,39.80%,All
Eduardo Schwank,131.3,27.20%,48.70%,18.50%,36.90%,All
Igor Sijsling,131.3,26.80%,47.30%,18.20%,39.00%,All
Julien Boutter,131.2,28.00%,45.90%,18.50%,38.80%,All
Noam Okun,131.2,28.10%,45.60%,19.20%,38.30%,All
Jim Grabb,131,28.10%,47.60%,18.90%,36.40%,All
Dennis Van Scheppingen,131,27.90%,48.50%,18.80%,35.80%,All
Jan Vacek,131,26.70%,47.70%,18.60%,38.00%,All
Leander Paes,131,26.60%,49.00%,19.00%,36.40%,All
George Bastl,130.9,27.10%,48.90%,19.80%,35.10%,All
Denis Istomin,130.9,27.20%,47.50%,18.40%,37.80%,All
Jiri Vesely,130.9,26.80%,47.80%,18.70%,37.60%,All
Chuck Adams,130.8,27.80%,47.50%,19.40%,36.10%,All
Marzio Martelli,130.8,27.60%,48.80%,19.80%,34.60%,All
Guido Andreozzi,130.7,26.10%,48.20%,18.00%,38.40%,All
Thierry Guardiola,130.6,27.70%,49.00%,19.40%,34.50%,All
Kristian Pless,130.5,26.10%,47.30%,17.90%,39.20%,All
Scott Draper,130.4,26.70%,48.00%,17.90%,37.80%,All
Christian Saceanu,130.4,27.60%,47.40%,18.00%,37.40%,All
Gregoire Barrere,130.3,26.90%,49.10%,18.80%,35.50%,All
Oleg Ogorodov,130.2,27.10%,46.50%,18.00%,38.60%,All
Jonathan Stark,130.1,27.50%,47.30%,18.30%,37.00%,All
Rogerio Dutra Silva,130.1,29.20%,46.40%,18.70%,35.80%,All
Julian Reister,130,30.00%,47.60%,19.30%,33.10%,All
Egor Gerasimov,129.9,26.30%,50.10%,17.80%,35.70%,All
Thierry Ascione,129.8,26.70%,46.40%,18.20%,38.50%,All
Lloyd Harris,129.8,25.70%,46.70%,17.50%,39.90%,All
Raemon Sluiter,129.8,26.90%,47.30%,17.80%,37.80%,All
Mirza Basic,129.7,25.80%,45.90%,18.20%,39.80%,All
Rik De Voest,129.7,26.50%,47.30%,18.10%,37.80%,All
Ugo Humbert,129.7,27.00%,47.70%,18.20%,36.80%,All
Daniel Munoz de la Nava,129.7,29.00%,47.50%,19.50%,33.70%,All
Ivan Ljubicic,129.6,27.30%,46.90%,18.30%,37.10%,All
Martin Lee,129.5,27.00%,48.20%,18.50%,35.80%,All
Jan Siemerink,129.5,27.60%,47.60%,17.90%,36.40%,All
Malek Jaziri,129.3,26.10%,48.10%,18.20%,36.90%,All
Martin Verkerk,129.2,27.20%,47.00%,15.90%,39.10%,All
Ryan Harrison,129.1,26.70%,46.50%,17.70%,38.20%,All
Jeff Morrison,129.1,27.20%,47.60%,18.10%,36.20%,All
Pat Cash,129,28.40%,45.10%,17.60%,37.90%,All
Victor Estrella Burgos,128.9,24.50%,46.90%,17.20%,40.30%,All
Mark Philippoussis,128.9,26.70%,47.60%,18.10%,36.50%,All
Sebastien De Chaunac,128.8,25.20%,47.90%,18.00%,37.70%,All
Julian Knowle,128.8,27.40%,46.60%,18.90%,35.90%,All
Alexander Bublik,128.7,28.00%,45.70%,18.10%,36.90%,All
Leonardo Mayer,128.7,27.00%,47.80%,17.30%,36.60%,All
Hugo Armando,128.6,26.50%,51.20%,17.80%,33.10%,All
Tatsuma Ito,128.6,26.20%,48.40%,17.50%,36.50%,All
Kenneth Carlsen,128.3,26.90%,47.30%,17.30%,36.80%,All
Sergiy Stakhovsky,128.3,27.50%,46.70%,17.90%,36.20%,All
Andreas Beck,128.2,27.00%,48.00%,17.50%,35.70%,All
Matthias Bachinger,128.2,27.70%,48.10%,18.40%,34.00%,All
Nicolas Mahut,128.2,26.60%,46.10%,17.10%,38.40%,All
Sam Querrey,128.2,26.80%,46.50%,17.60%,37.30%,All
David Witt,128.2,23.30%,49.10%,17.00%,38.80%,All
Daniel Vacek,128.1,25.70%,47.70%,17.90%,36.80%,All
Brian Baker,127.9,26.40%,48.40%,18.00%,35.10%,All
Thiago Alves,127.9,23.70%,48.30%,17.80%,38.10%,All
Alexander Peya,127.9,28.90%,46.00%,18.40%,34.60%,All
Marco Chiudinelli,127.8,25.60%,47.60%,16.90%,37.70%,All
Facundo Bagnis,127.8,28.30%,46.80%,17.70%,35.00%,All
Michael Berrer,127.8,27.20%,46.20%,17.30%,37.10%,All
Taylor Fritz,127.8,25.50%,49.20%,17.70%,35.40%,All
Matteo Berrettini,127.7,27.70%,47.10%,17.60%,35.30%,All
Chris Pridham,127.7,27.70%,47.60%,18.40%,34.00%,All
Brian Dabul,127.6,27.80%,47.40%,18.00%,34.40%,All
Danilo Marcelino,127.6,28.60%,45.70%,17.70%,35.60%,All
Lars Rehmann,127.6,25.20%,48.00%,18.40%,36.00%,All
Michael Llodra,127.2,27.30%,46.50%,17.00%,36.40%,All
Cyril Saulnier,127.2,25.60%,47.80%,17.00%,36.80%,All
Norbert Gombos,127.1,27.50%,48.90%,17.70%,33.00%,All
Greg Rusedski,127.1,26.50%,46.90%,16.90%,36.80%,All
Benjamin Becker,127,25.80%,46.60%,17.10%,37.50%,All
Marco Cecchinato,126.9,27.00%,47.50%,17.40%,35.00%,All
Marcos Giron,126.7,24.90%,48.90%,17.50%,35.40%,All
Yannick Hanfmann,126.7,28.40%,46.60%,18.50%,33.20%,All
Tennys Sandgren,126.6,26.20%,46.70%,16.60%,37.10%,All
Joern Renzenbrink,126.5,26.40%,48.20%,16.50%,35.40%,All
Peter Polansky,126.4,25.60%,47.20%,17.40%,36.20%,All
Martin Damm,126.3,25.50%,47.80%,17.50%,35.50%,All
Pierre-Hugues Herbert,126.3,26.20%,46.10%,16.30%,37.70%,All
Joao Souza,126.3,28.30%,45.50%,16.70%,35.80%,All
Thiemo de Bakker,126.2,26.20%,45.50%,16.30%,38.20%,All
Bernard Tomic,126.1,25.20%,47.60%,17.20%,36.10%,All
Peter Wessels,126,25.00%,46.80%,16.10%,38.10%,All
Nick Kyrgios,125.9,24.00%,46.70%,16.10%,39.10%,All
Marcos Daniel,125.8,24.40%,47.10%,15.90%,38.40%,All
Jerzy Janowicz,125.8,26.60%,46.00%,16.80%,36.40%,All
Bryan Shelton,125.8,26.40%,48.60%,16.10%,34.70%,All
Bob Bryan,125.7,23.40%,46.50%,15.40%,40.40%,All
Tuomas Ketola,125.7,24.90%,45.30%,17.10%,38.40%,All
Kevin Anderson,125.6,26.40%,46.90%,16.40%,35.90%,All
Andreas Haider-Maurer,125.6,26.50%,45.10%,17.00%,37.00%,All
Jamie Morgan,125.4,26.70%,47.90%,17.80%,33.00%,All
Gregory Carraz,125.3,26.00%,44.70%,16.20%,38.40%,All
Roko Karanusic,125.3,29.80%,44.90%,17.80%,32.80%,All
Lukas Lacko,125.3,25.20%,47.10%,16.50%,36.50%,All
Alex Radulescu,125.3,24.40%,47.20%,16.40%,37.30%,All
Lukas Rosol,125.2,26.10%,46.30%,16.50%,36.30%,All
Alexander Mronz,125.1,25.10%,47.00%,16.90%,36.10%,All
Daniel Nestor,125.1,23.80%,47.60%,16.80%,36.90%,All
Michiel Schapers,125.1,27.10%,47.00%,16.70%,34.30%,All
Go Soeda,125.1,26.40%,46.50%,16.80%,35.40%,All
Thanasi Kokkinakis,125,24.00%,48.30%,15.00%,37.70%,All
Brian MacPhie,125,26.80%,46.80%,16.30%,35.10%,All
Ruben Bemelmans,124.9,25.70%,46.60%,15.80%,36.80%,All
Jacco Eltingh,124.9,25.50%,47.30%,16.20%,35.90%,All
Hendrik Jan Davids,124.8,25.30%,48.40%,16.00%,35.10%,All
Simone Bolelli,124.5,26.00%,45.90%,15.70%,36.90%,All
Milos Raonic,124.5,26.80%,46.00%,15.90%,35.80%,All
Dustin Brown,124.2,26.00%,45.30%,16.10%,36.80%,All
Victor Crivoi,124.2,28.20%,46.70%,18.00%,31.30%,All
Nicolas Jarry,124.2,25.50%,45.90%,15.70%,37.10%,All
Jamie Delgado,124.1,24.60%,47.80%,16.60%,35.10%,All
Grant Connell,123.9,29.50%,45.70%,16.60%,32.10%,All
Marsel Ilhan,123.6,25.20%,45.90%,15.70%,36.80%,All
Steve Johnson,123.6,25.50%,45.70%,16.40%,36.00%,All
Max Mirnyi,123.6,27.20%,44.80%,15.70%,35.90%,All
Peter Luczak,123.1,24.50%,46.70%,15.80%,36.10%,All
Antony Dupuis,123,25.50%,46.50%,16.00%,35.00%,All
Lorenzo Sonego,122.9,27.10%,45.50%,16.00%,34.30%,All
Stephane Simian,122.8,25.80%,47.00%,16.00%,34.00%,All
Adrian Ungur,122.8,26.70%,44.90%,15.70%,35.50%,All
Nicolas Pereira,122.6,26.50%,46.40%,15.70%,34.00%,All
Michal Przysiezny,122.2,24.50%,45.00%,15.10%,37.60%,All
Ivan Navarro,121.8,26.80%,43.60%,14.60%,36.80%,All
Vasek Pospisil,121.7,25.50%,44.70%,15.00%,36.50%,All
Evgeny Donskoy,121.6,25.50%,46.00%,15.40%,34.70%,All
Jurgen Zopp,121.6,26.60%,46.10%,16.00%,32.90%,All
Feliciano Lopez,121.5,26.40%,44.30%,15.40%,35.40%,All
Horacio Zeballos,121.4,24.00%,45.50%,15.00%,36.90%,All
Neil Borwick,121.3,27.00%,44.50%,16.00%,33.80%,All
Fernon Wibier,121.3,25.50%,45.10%,14.50%,36.20%,All
Elias Ymer,121.1,26.30%,46.20%,15.80%,32.80%,All
Markus Zoecke,120.9,24.30%,46.40%,15.10%,35.10%,All
Glenn Weiner,120.8,25.00%,46.90%,14.70%,34.20%,All
Laurence Tieleman,120.5,25.20%,44.90%,15.70%,34.70%,All
Prakash Amritraj,120.2,25.00%,45.40%,15.90%,33.90%,All
Takao Suzuki,120.1,25.10%,44.80%,14.30%,35.90%,All
Martin Rodriguez,119.9,27.70%,46.40%,15.70%,30.10%,All
Jeff Salzenstein,119.7,25.90%,45.60%,15.20%,33.00%,All
Rajeev Ram,119.7,25.50%,43.80%,14.80%,35.60%,All
James Ward,119.7,25.40%,47.20%,14.50%,32.60%,All
Daniele Bracciali,119.5,25.70%,45.00%,14.80%,34.00%,All
Jesse Huta Galung,119.4,25.70%,47.00%,13.60%,33.10%,All
Gary Muller,119.3,25.10%,44.40%,14.70%,35.10%,All
Frank Dancevic,118.9,24.90%,45.20%,15.30%,33.50%,All
Ramkumar Ramanathan,118.9,25.90%,48.00%,14.80%,30.20%,All
Alex Kuznetsov,118.5,23.80%,46.20%,14.50%,34.00%,All
Joachim Johansson,118.3,22.40%,47.50%,13.70%,34.70%,All
James Duckworth,118.2,24.40%,45.20%,13.70%,34.90%,All
Maximilian Marterer,118.1,25.00%,43.70%,14.20%,35.20%,All
Andrew Sznajder,117.9,25.60%,46.30%,14.40%,31.60%,All
Alex Bogdanovic,117.8,23.40%,48.70%,13.50%,32.20%,All
Luke Jensen,117.8,24.50%,43.70%,15.00%,34.60%,All
Bobby Reynolds,117.6,24.70%,46.10%,14.50%,32.30%,All
Robert Kendrick,117.4,25.20%,45.70%,13.80%,32.70%,All
Alexei Popyrin,117.4,25.20%,44.00%,14.30%,33.90%,All
Amer Delic,116.2,25.00%,43.50%,13.70%,34.00%,All
Konstantin Kravchuk,116.2,24.10%,43.40%,14.10%,34.60%,All
Gilles Muller,116.1,23.50%,44.80%,13.40%,34.40%,All
Marius Copil,115.8,25.10%,44.00%,13.00%,33.70%,All
Nicolas Thomann,115.7,25.20%,46.60%,13.90%,30.00%,All
Fredrik Jonsson,115.1,22.90%,47.40%,14.20%,30.60%,All
Arvind Parmar,114.9,24.10%,44.60%,13.50%,32.70%,All
Bradley Klahn,114.6,24.70%,42.50%,12.30%,35.10%,All
Dick Norman,114.5,24.50%,44.30%,12.60%,33.10%,All
Alexander Waske,114.2,24.50%,42.30%,12.00%,35.40%,All
Daniel Brands,113.4,24.00%,45.10%,12.40%,31.90%,All
Wesley Moodie,113.1,24.00%,43.60%,12.50%,33.00%,All
Lorenzo Manta,112.8,22.10%,45.70%,13.80%,31.20%,All
Ernesto Escobedo,109.7,23.10%,44.50%,12.50%,29.60%,All
Austin Krajicek,108.5,22.30%,44.40%,11.10%,30.70%,All
Paul Wekesa,108,24.20%,43.80%,10.60%,29.40%,All
Sam Groth,106.3,23.00%,40.90%,10.40%,32.00%,All
Kenny De Schepper,106.1,23.70%,43.20%,10.40%,28.80%,All
John Isner,105.3,22.50%,41.90%,10.40%,30.50%,All
Wayne Arthurs,103.9,23.40%,40.50%,10.00%,30.00%,All
Reilly Opelka,100.8,20.60%,41.20%,9.70%,29.30%,All
Ivo Karlovic,100.1,21.20%,40.20%,8.50%,30.20%,All
Chris Guccione,98.5,21.40%,40.30%,8.60%,28.20%,All
,,,,,,
Player,Return Rating,% 1st Serve Return Points Won,% 2nd Serve Return Points Won,% Return Games Won,% Break Points Converted,Surface
Rafael Nadal,189.9,40.00%,57.90%,43.20%,48.80%,Clay
Guillermo Coria,182,38.90%,55.40%,39.80%,47.90%,Clay
Andrei Chesnokov,180.4,37.60%,55.10%,38.90%,48.80%,Clay
Bart Wuyts,176.2,37.10%,54.90%,37.70%,46.50%,Clay
Thomas Muster,175.9,35.50%,56.90%,37.00%,46.50%,Clay
Sergi Bruguera,174.7,35.60%,55.40%,36.50%,47.20%,Clay
Diego Schwartzman,174.1,36.40%,55.50%,36.40%,45.80%,Clay
Ivan Lendl,172.7,39.00%,51.90%,36.30%,45.50%,Clay
David Ferrer,172.6,36.40%,55.30%,35.40%,45.50%,Clay
Alberto Berasategui,172.2,35.30%,57.20%,35.10%,44.60%,Clay
Novak Djokovic,171.9,36.60%,54.80%,35.30%,45.20%,Clay
Goran Prpic,171.6,36.30%,54.20%,35.40%,45.70%,Clay
Carlos Costa,170.8,34.90%,56.00%,35.30%,44.60%,Clay
Slava Dosedel,170.7,36.30%,54.90%,34.80%,44.70%,Clay
Andre Agassi,170.7,35.80%,55.00%,34.90%,45.00%,Clay
Magnus Gustafsson,170.1,37.80%,52.00%,34.80%,45.50%,Clay
Filippo Volandri,169.8,35.40%,53.90%,34.80%,45.70%,Clay
David Nalbandian,169.7,35.70%,54.40%,33.70%,45.90%,Clay
Guillermo Perez-Roldan,169,36.30%,53.00%,33.20%,46.50%,Clay
Tomas Carbonell,168.1,36.70%,52.30%,33.10%,46.00%,Clay
Felix Mantilla,167.4,33.80%,55.00%,33.30%,45.30%,Clay
Lleyton Hewitt,167.3,35.90%,53.00%,33.00%,45.40%,Clay
Gaston Gaudio,167.2,35.00%,54.20%,33.90%,44.10%,Clay
Gilbert Schaller,167.2,34.80%,54.40%,33.90%,44.10%,Clay
Andy Murray,167.1,36.20%,53.40%,33.20%,44.30%,Clay
Franco Davin,166.7,35.00%,53.20%,33.10%,45.40%,Clay
Nikolay Davydenko,166.3,36.30%,53.40%,33.50%,43.10%,Clay
Michael Chang,166.1,35.60%,54.10%,33.20%,43.20%,Clay
Jannik Sinner,165.9,36.00%,51.00%,31.70%,47.20%,Clay
Jordi Arrese,165.7,34.50%,54.70%,32.60%,43.90%,Clay
Juan Ignacio Chela,165.7,36.20%,52.00%,32.30%,45.20%,Clay
Andrei Medvedev,165.6,36.50%,52.40%,32.30%,44.40%,Clay
Juan Carlos Ferrero,165.5,35.70%,54.10%,33.70%,42.00%,Clay
Aaron Krickstein,165.1,34.40%,52.60%,32.40%,45.70%,Clay
Stefan Edberg,164.8,37.00%,50.30%,32.10%,45.40%,Clay
David Sanchez,164.7,34.70%,53.10%,32.10%,44.80%,Clay
Alex Corretja,164.5,34.60%,53.60%,32.70%,43.60%,Clay
Juan Monaco,164.5,34.90%,53.20%,32.60%,43.80%,Clay
Christian Ruud,164.4,34.30%,53.70%,32.70%,43.70%,Clay
Jaime Yzaga,164.4,35.50%,52.70%,31.70%,44.50%,Clay
Horacio de la Pena,164,34.50%,53.00%,31.10%,45.40%,Clay
Francisco Clavet,163.8,34.10%,53.80%,32.10%,43.80%,Clay
Tomas Nydahl,163.4,33.10%,54.90%,32.50%,42.90%,Clay
Jaime Oncins,163.4,35.40%,54.30%,32.10%,41.60%,Clay
Arnaud Di Pasquale,163.2,34.10%,51.90%,30.80%,46.40%,Clay
Olivier Mutis,163.2,35.60%,50.60%,31.30%,45.70%,Clay
Horst Skoff,162.8,35.50%,52.90%,31.60%,42.80%,Clay
Guillermo Canas,162.7,35.20%,52.00%,31.20%,44.30%,Clay
Gilles Simon,162.7,34.50%,52.90%,30.80%,44.50%,Clay
Jim Courier,162.3,34.90%,52.70%,31.30%,43.40%,Clay
Tommy Robredo,162.2,35.10%,52.90%,31.20%,43.00%,Clay
David Goffin,161.7,35.20%,52.20%,31.30%,43.00%,Clay
Thierry Champion,161.6,35.20%,51.10%,31.00%,44.30%,Clay
Petr Korda,161.5,35.50%,50.90%,31.40%,43.70%,Clay
Marcelo Rios,161.4,34.60%,53.40%,32.00%,41.40%,Clay
Andrea Gaudenzi,161.3,33.90%,52.90%,31.20%,43.30%,Clay
Richey Reneberg,161,34.00%,52.30%,30.60%,44.10%,Clay
Karol Kucera,160.9,36.60%,50.40%,31.00%,42.90%,Clay
Renzo Furlan,160.6,34.40%,51.30%,30.30%,44.60%,Clay
Albert Costa,160.5,34.20%,53.00%,30.70%,42.60%,Clay
