Player,Return Rating,% 1st Serve Return Points Won,% 2nd Serve Return Points Won,% Return Games Won,% Break Points Converted,Surface
Andrei Cherkasov,151.2,29.10%,54.10%,26.30%,41.70%,All
Ramesh Krishnan,151.2,31.40%,53.30%,27.60%,38.90%,All
Jan Gunnarsson,151.1,32.00%,49.20%,25.90%,44.00%,All
Hyeon Chung,151,30.10%,52.40%,26.00%,42.50%,All
Sebastien Grosjean,151,31.20%,51.70%,26.70%,41.40%,All
Fabrice Santoro,151,31.60%,51.60%,26.60%,41.20%,All
Andrea Gaudenzi,150.9,31.30%,51.90%,27.10%,40.60%,All
Michal Tabara,150.9,30.30%,52.30%,26.60%,41.70%,All
Jonas Bjorkman,150.8,30.40%,53.60%,26.50%,40.30%,All
Jim Courier,150.8,29.70%,52.60%,26.10%,42.40%,All
Damir Dzumhur,150.8,31.40%,50.40%,26.30%,42.70%,All
Aslan Karatsev,150.8,31.70%,52.30%,27.10%,39.70%,All
Lucas Arnold Ker,150.7,29.20%,51.70%,25.70%,44.10%,All
Todd Woodbridge,150.7,30.10%,52.90%,26.00%,41.70%,All
Byron Black,150.6,28.00%,55.00%,26.10%,41.50%,All
Markus Hipfl,150.6,30.90%,51.30%,26.70%,41.70%,All
Albert Costa,150.5,31.10%,51.70%,26.70%,41.00%,All
Claudio Pistolesi,150.5,33.10%,50.00%,25.60%,41.80%,All
Bohdan Ulihrach,150.2,29.70%,52.50%,26.50%,41.50%,All
Gilad Bloom,150.1,31.50%,49.40%,26.40%,42.80%,All
Christian Miniussi,150.1,32.90%,50.70%,27.00%,39.50%,All
Juan Carlos Ferrero,150,30.80%,52.50%,26.60%,40.10%,All
Daniel Orsanic,150,31.80%,47.10%,24.10%,47.00%,All
David Engel,149.8,30.50%,50.60%,23.90%,44.80%,All
Andrej Martin,149.8,34.10%,49.00%,27.20%,39.50%,All
Rainer Schuettler,149.8,31.00%,50.80%,25.70%,42.30%,All
Fernando Vicente,149.8,31.70%,51.10%,25.80%,41.20%,All
Alexander Volkov,149.8,29.30%,51.90%,25.60%,43.00%,All
Dominik Hrbaty,149.7,29.80%,52.30%,26.00%,41.60%,All
Daniil Medvedev,149.7,30.00%,53.20%,25.60%,40.90%,All
MaliVai Washington,149.7,30.50%,51.10%,25.70%,42.40%,All
Lars Jonsson,149.6,30.20%,51.50%,26.00%,41.90%,All
Oscar Martinez,149.6,33.20%,50.60%,27.00%,38.80%,All
Alberto Martin,149.6,31.40%,50.80%,25.60%,41.80%,All
David Nainkin,149.5,27.90%,52.40%,25.40%,43.80%,All
Richey Reneberg,149.5,29.60%,52.90%,26.00%,41.00%,All
Thomas Enqvist,149.4,28.70%,53.40%,26.30%,41.00%,All
Vincent Spadea,149.4,29.80%,52.30%,25.20%,42.10%,All
Marcelo Filippini,149.3,32.40%,51.20%,26.40%,39.30%,All
Anders Jarryd,149.3,30.70%,50.50%,26.00%,42.10%,All
Juan Martin del Potro,149.2,30.10%,51.70%,25.60%,41.80%,All
Mikael Pernfors,149.2,30.30%,50.80%,26.20%,41.90%,All
Nicolas Kiefer,149.1,30.10%,51.10%,25.40%,42.50%,All
Jason Stoltenberg,149.1,31.30%,50.70%,25.80%,41.30%,All
Mats Wilander,149.1,29.50%,51.80%,25.30%,42.50%,All
Tommy Robredo,148.9,31.10%,51.10%,25.40%,41.30%,All
Jannik Sinner,148.9,31.50%,50.70%,25.10%,41.60%,All
Roberto Carballes Baena,148.6,29.80%,51.00%,24.60%,43.20%,All
Michel Kratochvil,148.6,30.90%,51.00%,25.20%,41.50%,All
Jordi Burillo,148.5,30.60%,50.30%,25.00%,42.60%,All
Arnaud Boetsch,148.4,30.10%,51.90%,25.70%,40.70%,All
Tim Henman,148.4,31.70%,50.10%,25.80%,40.80%,All
Mark Knowles,148.4,28.40%,52.20%,24.20%,43.60%,All
Andrey Rublev,148.4,29.80%,53.40%,25.00%,40.20%,All
Flavio Cipolla,148.1,31.60%,50.20%,25.60%,40.70%,All
Carlos Moya,148,31.50%,50.80%,25.30%,40.40%,All
James Blake,147.9,30.40%,50.90%,24.90%,41.70%,All
Nicolas Kicker,147.9,30.10%,49.70%,23.10%,45.00%,All
Mikhail Youzhny,147.9,30.10%,51.20%,25.30%,41.30%,All
Mauricio Hadad,147.8,31.50%,50.50%,26.40%,39.40%,All
Jean-Rene Lisnard,147.8,31.90%,51.00%,25.20%,39.70%,All
Mikael Ymer,147.7,31.00%,50.30%,24.10%,42.30%,All
Andres Gomez,147.6,33.00%,47.90%,25.10%,41.60%,All
Kris Goossens,147.6,31.80%,48.10%,24.00%,43.70%,All
Jarkko Nieminen,147.6,29.70%,51.60%,24.70%,41.60%,All
Pablo Carreno Busta,147.5,28.80%,52.00%,24.80%,41.90%,All
Martin Jaite,147.5,33.00%,48.50%,25.30%,40.70%,All
Markus Naewie,147.5,30.50%,49.40%,24.20%,43.40%,All
Magnus Norman,147.5,29.60%,51.30%,25.50%,41.10%,All
Gael Monfils,147.5,31.80%,49.30%,25.20%,41.20%,All
Sjeng Schalken,147.5,29.70%,51.40%,25.10%,41.30%,All
Alexander Zverev,147.5,30.40%,50.80%,24.80%,41.50%,All
Carlos Berlocq,147.4,31.00%,50.30%,25.20%,40.90%,All
Robin Soderling,147.4,29.50%,51.00%,24.10%,42.80%,All
Nicolas Escude,147.3,30.90%,50.50%,25.00%,40.90%,All
Javier Sanchez,147.3,31.60%,50.10%,25.20%,40.40%,All
Pablo Andujar,147.2,30.70%,51.80%,25.00%,39.70%,All
Marton Fucsovics,147.1,31.80%,50.50%,25.70%,39.10%,All
Amos Mansdorf,147,29.30%,51.40%,25.00%,41.30%,All
Alex de Minaur,146.9,29.90%,51.50%,24.10%,41.40%,All
Nicolas Massu,146.9,30.60%,49.90%,24.60%,41.80%,All
Olivier Rochus,146.9,28.50%,52.70%,24.20%,41.50%,All
Jeff Tarango,146.9,29.20%,51.50%,25.00%,41.20%,All
Santiago Ventura,146.9,30.90%,48.40%,23.90%,43.70%,All
Tomas Berdych,146.8,29.20%,52.00%,24.00%,41.60%,All
